segment_id,segment_class,hamnosys_1_initial_configuration,hamnosys_2_basic_handshape,hamnosys_3_handshape_modifications,fsw,signwriting_1,signwriting_2
seg00143,handshape,Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1ba,񄗁,
seg00144,handshape,Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1bb,񄘱,
seg00145,handshape,Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1ce,񄵑,
seg00146,handshape,Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1d0,񄸑,
seg00147,handshape,Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1d5,񄿱,
seg00148,handshape,Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1d6,񅁑,
seg00149,handshape,Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",Missing,,
seg00150,handshape,Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others nonspread)",S18c,񃒑,
seg00151,handshape,Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others nonspread)",S18d,񃓱,
seg00152,handshape,Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others nonspread)",S1da,񅇑,
seg00153,handshape,Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1c1,񄡱,
seg00154,handshape,Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1c3,񄤱,
seg00155,handshape,Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1d1,񄹱,
seg00156,handshape,Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1d2,񄻑,
seg00157,handshape,Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1d3,񄼱,
seg00158,handshape,Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1d4,񄾑,
seg00159,handshape,Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1d8,񅄑,
seg00160,handshape,Thumb Opposition,1fin_othersNonfist,FlattenedandInFistfingerUp,S105,񀇱,
seg00161,handshape,Thumb Opposition,1fin_othersNonfist,FlattenedandInFistfingerUp,S196,񃡑,
seg00162,handshape,,,,S10b,,
seg00163,handshape,,,,S14a,,
seg00164,handshape,,,,S14d,,
seg00165,handshape,,,,S16f,,
seg00166,handshape,,,,S17e,,
seg00167,handshape,,,,S1cd,,
seg00168,handshape,,,,S1dd,,
seg00169,handshape,,,,S102,,
seg00170,handshape,,,,S104,,
seg00171,handshape,,,,S107,,
seg00172,handshape,,,,S109,,
seg00173,handshape,,,,S10d,,
seg00174,handshape,,,,S10f,,
seg00175,handshape,,,,S111,,
seg00176,handshape,,,,S113,,
seg00177,handshape,,,,S114,,
seg00178,handshape,,,,S117,,
seg00179,handshape,,,,S11b,,
seg00180,handshape,,,,S11c,,
seg00181,handshape,,,,S11f,,
seg00182,handshape,,,,S120,,
seg00183,handshape,,,,S124,,
seg00184,handshape,,,,S12c,,
seg00185,handshape,,,,S12e,,
