dic_gloss,synonyms,sid,FSW
blagajna,,1714,M606x536S36d00479x471S19a52505x480S20600503x512S1ea02579x488S1ea0a552x496S26c00579x465S26c18545x475S2fc04570x525
blago,,1720,M521x537S2fc04492x526S2ea44479x493S2ea00505x498S15a02494x477S15a06480x463
blagor,,3322,M607x576S1ce10513x516S1ce18469x517S30c00482x483S2fb00569x500S22f10548x512S2fb04493x570S18001581x536S18009551x536S20e00584x563S20e00565x564S22f00582x511S26a00508x551S26a10469x552
blagor,,3512,M556x558S2880d527x533S15a36491x545S1ce40534x498S14c50488x522S20500476x547S35000482x483
blagoslov,,201,M515x532S15a10492x468S22b04490x502S22b06485x506
blagoslov z Najsvetejšim,,3672,M515x534S20302489x483S20306489x466S22b24489x504S22b26485x507
blagosloviti,,3513,M544x532S15a10463x468S22b04461x502S22b06456x506S1ea10500x471S23504497x500S26506529x494
blagosloviti,,762,M515x532S15a10492x468S22b04490x502S22b06485x506
blagoslovljena voda,,3784,M547x564S19a00519x515S20e00522x499S26a06524x537S30005482x483S22b04458x527S22b06453x530S15a10459x496
blato,,1721,M534x562S35600482x483S17e14466x547S2fb00493x526S17e1c511x546S22214511x535S22214469x536
blato,,2273,M541x602S35600482x483S18514465x549S22114463x534S22114512x524S1851c513x535S2fc04502x591S23100515x557S23118467x573
blaženi,,3783,M527x533S15a10480x469S22b04477x503S22b06473x507S1ed26508x467S22b04508x502
blazina,pillow,1803,M550x552S17d10451x537S17d18416x537S22214453x523S22214418x524S15a19510x509S15a17527x512S30908482x479
Bled,,1724,M542x528S19a50510x472S19a58462x473S2eb4e459x500S2eb3a510x499S2fb04493x522
bled,,1725,M542x551S1ed06523x483S25004520x515S2ff00482x483S21410525x472
bleščati se,,1728,M563x558S1ce40496x484S1ce48474x490S2fb04492x525S21b00437x550S21b00555x442S22c07515x458S25843528x460S2e243462x512S22c13445x518S2e247512x474S25843449x529
blisk,,1727,M518x545S10020496x455S24703483x494S2f900483x540
blitva,mangonel,1729,M534x535S14720466x500S1f540514x486S1f548497x497S22f04509x466S20e00508x523
bližati,,3103,M537x530S1150a486x494S11502507x481S20600484x470S26a17464x509
bližina,,3133,M529x519S1150a478x504S11502499x491S20600471x482
bližnji,,367,M547x537S1150a457x522S22b04527x495S11502477x511S26a04486x486S1ed26528x464S20600454x506
blizu,,366,M529x519S1150a478x504S11502499x491S20600471x482
blok,,1730,M532x522S1ed20503x479S1ed28470x479S26606502x506S26612468x506
bluza,blouse,1731,M531x543S1d402503x471S1d40a469x471S20500513x498S20500513x531S20500479x498S20500479x532S2fb00492x457S22a04511x513S22a14478x514
bo,,84,M535x519S15a40522x492S2ff00482x483S26500521x472
boben,,3352,M533x544S1ea41505x456S1ea49468x473S23100507x488S23110468x505S2fc04497x533S2f900515x509S2f900476x527
bodi,,119,M535x518S15a40522x490S2ff00482x483S26500521x471S2f900522x463
bodica,,1732,M521x523S15a19479x478S10001498x493S20b00508x481
Bog,,3069,M544x556S2ff00482x483S22a00531x468S22a04494x541S1533e487x521S10000525x490S32110490x490
Bog,,333,M544x556S2ff00482x483S22a00531x468S22a04494x541S1533e487x521S10000525x490
Bog,,3869,M518x556S2ff00482x483S1533e487x521S22a04494x541
bogastvo,,1431,M533x532S1ea01505x468S1ea09468x469S23004508x498S23014471x499S2fb04494x526
bogastvo,,1467,M521x533S36d00479x468S15002466x478S26500477x518S2f900478x509
bogastvo,,412,M523x542S11501497x475S11509479x477S20500496x458S2df10477x511S2df08502x511S2fb04491x536
bogastvo,,985,M552x534S11501497x484S11509479x486S20500497x467S2fb04495x528S11528448x475S11520537x474S26506525x514S26512464x515
bogat,rich,1799,M524x544S11501497x472S11509479x474S20500495x457S2fb04492x538S2df10477x509S2df08503x509
bogato,,3169,M524x544S11501497x472S11509479x474S20500495x457S2fb04492x538S2df10477x509S2df08503x509
bogokletje,,3870,M571x556S2ff00461x483S1533e467x521S22a04474x541S33b00503x482S10a00513x520S10a20540x519S2c300545x493S30c30510x489S2f900549x483
bogoslovec,,4106,M570x554S1f010541x512S26506553x531S36a30521x506S2ff00512x474S15d40490x498S30005453x474S2b900479x530
bogoslužje,,3221,M586x583S2ff00482x483S22a00531x468S22a04494x541S1533e487x521S10000525x490S15d38552x521S15d40565x536S26c08559x568S21100542x569
Bogu,,3250,M550x556S2ff00482x483S10000525x479S22a04494x541S1533e487x521S22f00525x456
Bohinj,Bohinj,1734,M521x525S20301474x490S36d00479x476S20600473x514
bojevati se,,1736,M544x528S20337476x507S20351477x494S20331505x507S20357505x493S20b00457x514S20b00531x515S22a04480x474S22a14509x473
boks,box,1737,M535x529S2f900495x488S20341514x507S36d01479x471S26501503x496S20349485x508
bolečina,pain,670,M535x539S2e50d512x502S2e515466x502S2fb04494x533S10b39468x462S10b31513x461
boleti 1,,1738,M536x534S14c02498x486S23700497x513S36d00479x467
boleti 2,,1018,M536x538S2e50d513x501S2e515465x502S2fb04493x532S10b31510x463S10b39468x464
bolezen,,671,M518x523S11549483x496S11541494x496S20600490x477
Bolgarija 1,Bulgaria,1739,M518x544S2ff00482x483S14c41478x517S22621464x507S2f900506x519
Bolgarija 2,,1740,M548x521S16010520x494S2c300522x468S20310525x449S33100482x483
bolha,,1741,M517x526S10a51484x506S2b900485x474
Bolivija,Bolivia,1742,M518x536S1a320491x507S2ba00483x465
bolj,,1411,M535x537S11557469x478S20601466x464S11531491x488S2a201515x514
boljše,,1625,M547x529S2d200521x481S1ce01519x506S30005482x483
bolnik,,3775,M549x530S36d10479x497S20304488x508S21100505x509S1ed26530x470S22b04530x500
bolniško maziljenje,,3776,M583x541S36d10479x460S20304488x471S21100508x471S15d39537x467S1f557558x483S22b03539x500S22b05543x499S21100570x512S21100537x527
bolniško olje,,3871,M563x521S36d10479x486S20304488x497S21100505x498S1f521539x480S2e736538x505
