dic_gloss,synonyms,sid,FSW
altruismo,"con gusto ayuda, dispuesto a ayudar",1212,M532x571S15d01482x459S20500482x479S26507504x442S2f700509x430S15d39501x537S1f702497x534S20500493x560S2d820474x520S26520490x501S26527519x508S26521469x506
altura (matemáticas),,1010,AS10051S20500S22a00S10059S2f900M527x531S10051497x504S2f900479x526S10059474x503S20500500x490S22a00499x470
ambos,"ambas, los dos, las dos",1124,M536x520S1001f464x488S10019515x480S27102496x480
América,continente americano,442,M522x521S15d21499x479S15d0b479x498S20500484x484
Amigo,,621,M530x588S33e00482x483S16f10506x547S16f48471x548S26502512x573S22104506x535S22104481x537S20700489x573
amigo,ser-amigo,371,M526x549S10001501x519S10021496x470S10029474x522S10009480x470S20e00492x452S20e00497x505
aminoácido,aminoácidos,1075,AS16d10S20500S11913S20500S17610S11941S28c04S21410S19a09S2f900M537x542S19a09494x491S16d10517x474S17610486x516S11913494x458S11941508x521S2f900511x511S20500527x498S20500480x479S28c04464x492S21410469x524
aminoácido,aminoácidos,1078,AS16d10S20500S28c04S21410S11941S19a09S2f900M533x531S28c04468x486S16d10510x469S20500523x493S21410472x517S11941500x510S2f900489x478S19a09490x485
Amnón,,198,AS1f711S2ff10S31430S20500S22a00S20500M533x523S31430489x490S2ff10482x485S20500501x477S20500501x496S22a00520x483S1f711512x501
Amor,,620,M533x584S1f701471x529S1f709512x529S37903484x545S3790b478x545S33e00482x483S20600491x523
amplificar fracciones,,883,AS1f410S22100S26506S22a04S1f410S22100S26506S10b19S2f900M536x532S10b19465x501S1f410489x479S1f410488x517S26506521x481S26506519x518S22100495x468S2f900470x524S22a04505x497S22100494x507
analizar,"examinar, observar, revisar, estudiar, investigar, indagar",930,AS15d01S2e502S2fc04S15d09S2e516S31500M529x567S31500482x483S15d01499x504S15d09475x522S2e502502x527S2e516483x544S2fc04512x555
Anciano,anciano,525,M527x548S30004482x483S1f720488x520S20500515x518S22a04514x533
and (programación),,999,M545x512S18540519x493S14c02456x489S26506495x492
