dic_gloss,synonyms,sid,FSW
conhecer,,204,M543x532S31400482x483S10001506x502S20600521x496
construir,,165,M529x535S11512495x466S1151a473x475S20e00493x496S22f04504x511S22f14472x511S2fd04489x529
contente,,255,M535x538S30004482x483S1f900494x523S20600513x514
copo,,505,M529x532S16d14477x492S16d10487x469S26c00502x507S20600472x521
cor,cores,96,M518x534S2ff00482x482S14c52473x510S22122464x510S22122458x510
cor de laranja,,93,M518x608S30004482x483S14c02475x516S22122466x516S22122460x516S20312476x593S20e00494x595S14c52478x565S21902469x570
cores,"COR, Cor, Cores, CORES",439,M534x542S20500478x514S14c1a487x519S22126520x517S30004482x483S22126527x516
CRÂNIO,"Crânio, crânio",499,M547x518S37803491x380S3780b478x379S21100516x385S20311477x366S20319500x366S2e231520x410S2e237452x407S2ff00482x483S1c511515x461S20600524x490
crescer,,42,M541x565S22c00525x489S15d50520x538S2ff00482x483S36140493x503S36140493x507
criar,fundar,118,M523x544S16d48478x524S17630501x527S20700502x507S22a00504x489S14c30499x456
crise,,181,M557x521S1f437490x418S21100507x415S22940525x416S2ff00482x483S1f710508x506S21100523x492
CULTURA,,460,M549x518S2ff00482x483S1531e524x466S2ea0a524x488
CULTURA,,466,M550x522S30900482x479S1531e525x474S2ea0a525x495
cultura,,8,M513x522S15437489x479S2ea06488x507
D,d,26,M513x518S15d32486x482S20500497x507
dar,oferecer,134,M545x523S18031461x493S2d808483x508S22111456x489S18037519x483S22117526x477
DENTE,"Dente, dentes",496,M544x535S36500482x483S10a00501x509S20600522x504
dentro,"incluso, DENTRO, INCLUSO",412,M520x520S17752483x480S17644481x504S20700502x496
DESCULPA,DESCULPE,349,M550x526S2ff00482x483S11520512x496S20600528x497
desculpa,,328,M551x538S33b00482x483S11510509x508S20600529x509
desde,,372,M537x557S10028464x465S10022475x456S2c300511x443S10028464x527S10002475x532S20500476x453S20500479x517
Desejar,desejar,277,M531x563S30a00482x483S15a02484x531S20e00494x547S2c601512x537
Despedir,,130,M538x523S15d39463x496S20e00482x511S18051497x490S22101495x494S26507525x477
desporto,,148,M563x520S1f548486x480S1f540503x480S20e00496x508S2c500523x483S2c514437x482
DIA,"Dia, dia",364,M550x536S30007482x483S10021512x484S20500500x466S2920c536x505
dia,,13,M525x538S28909498x486S2ff00482x482S15d02490x519
diariamente,,194,M553x558S36150490x497S34700482x483S10002523x543S2bb00517x506
divisões,,69,M527x525S15d5a476x506S15d02472x488S20600504x495S26b00500x474
dois,"Dois, Duas, duas",265,M508x515S10e00493x485
dormir,,157,M527x529S30201482x478S31630489x498S15a17504x506
dormir,,70,M535x530S31600482x488S3092a493x477S15d17512x507
E,e,39,M511x510S1ea10488x489
É-ISSO,é-isso,420,M518x571S30e00482x483S10011471x514S26b00469x553
economia,,203,M538x546S1f437464x458S21100481x455S22940499x456S15a16462x534S15a1e474x518S2eb32506x513
educacao,,10,M542x528S2ff00482x483S18520516x492S18528453x513S26a00515x471S26a10451x494
