dic_gloss,synonyms,sid,FSW
50L,,2005,M518x559S14c00477x528S2ff00482x483S26900457x535
50P,,2006,M539x559S14c00516x528S2ff00482x483S26900496x535
55 A (UPOL),,5587,M529x518S14c01472x483S14c01503x483S2f900486x513S2f900517x513
55 B (UPOL),,5588,M526x529S14c10474x498S14c10503x498S26500479x479S26500508x479S2f900480x471S2f900510x471
6 (hodin) A (UPOL),6 B (UPOL),5550,M545x517S14c09456x486S1f520488x496S2e400516x484
6 (hodin) B (UPOL),,5551,M524x532S14c09476x469S1f502509x472S2e428488x499
6 (hodin) C (UPOL),,5560,M527x532S14c09477x469S1f502510x472S2e200507x500S2e218474x500
6 A (UPOL),,5615,M524x514S14c09477x487S1f502509x490
6. (datumy) (UPOL),"6. (pořadí) A (UPOL), 6. (pořadí) C (UPOL)",5546,M541x514S14c09459x487S1f502492x490S22b26511x496
6. (pořadí) B (UPOL),,5556,M523x525S14c18478x494S1f510508x510S26927496x476
6. (pořadí) D (UPOL),"6. (třída, ročník) B (UPOL)",5548,M541x514S14c09476x487S1f502509x490S22f16459x489S22f02527x489
6. (pořadí) E (UPOL),,5547,M523x526S14c18478x495S1f510508x511S26920495x474
"6. (třída, ročník) A (UPOL)",,5549,M524x518S14c09476x491S1f502509x493S21900510x483S21900484x483
60 A (UPOL),,5634,M524x524S1f502509x500S14c09477x497S26920498x476
60 B (UPOL),,5635,M524x530S14c09477x470S1f502509x473S17610495x514
600 A (UPOL),,5651,M526x526S14c09477x474S1f502509x477S2df0c505x505S2df14474x505
600 B (UPOL),,5652,M524x530S14c09477x470S1f502508x473S17610477x514S17610508x514
7 (hodin) A (UPOL),,5558,M532x526S14c09469x499S1dc20502x496S26b00505x474
7 (hodin) B (UPOL),,5559,M527x533S14c09473x470S1dc01504x467S2e428487x500
7 A (UPOL),,5616,M527x515S14c09473x488S1dc01504x485
7 B (UPOL),,5617,M543x539S14c09457x466S1dc20490x462S1dc50518x509S23c04520x478
7. (datumy) (UPOL),"7. (pořadí) A (UPOL), 7. (pořadí) C (UPOL)",5552,M544x515S14c09457x488S1dc01488x485S22b26514x494
7. (pořadí) B (UPOL),,5555,M527x526S1dc10503x496S14c18473x495S26927489x474
7. (pořadí) D (UPOL),,5553,M527x526S14c18473x495S1dc10503x496S26920490x474
"7. (třída, ročník) A (UPOL)",,5554,M528x519S14c09472x492S1dc01505x489S21900510x482S21900480x482
"7. (třída, ročník) B (UPOL)",,5557,M530x533S14c09474x470S1dc01507x467S2e200508x501S2e218471x501
70 A (UPOL),,5636,M527x526S14c09473x499S1dc01504x496S26920493x475
70 B (UPOL),,5637,M527x532S14c09473x472S17610492x516S1dc01504x469
700 A (UPOL),,5653,M529x528S14c09475x476S1dc01506x473S2df0c506x507S2df14472x507
700 B (UPOL),,5654,M527x532S14c09474x472S1dc01504x469S17610473x516S17610507x516
8 (hodin) A (UPOL),8 B (UPOL),5566,M531x526S14c09469x499S11e20502x496S26b00504x474
8 (hodin) B (UPOL),,5567,M529x533S14c09471x470S11e01504x468S2e428486x500
8 A (UPOL),,5618,M529x515S14c09471x487S11e01504x485
8. (datumy) (UPOL),"8. (pořadí) A (UPOL), 8. (pořadí) C (UPOL)",5561,M547x515S14c09453x487S11e01488x485S22b26517x494
8. (pořadí) B (UPOL),,5562,M527x527S14c18474x496S11e10504x497S26927490x474
8. (pořadí) D (UPOL),,5563,M527x526S14c18474x495S11e10504x496S26920491x474
"8. (třída, ročník) A (UPOL)",,5564,M529x519S14c09471x491S11e01504x489S21900511x481S21900479x482
"8. (třída, ročník) B (UPOL)",,5565,M531x533S14c09473x470S11e01506x468S2e200511x501S2e218470x501
80 A (UPOL),,5638,M529x526S14c09471x498S11e01504x496S26920493x475
80 B (UPOL),,5639,M529x531S14c09471x471S11e01504x469S17610491x515
800 A (UPOL),,5655,M531x528S14c09473x475S11e01506x473S2df14470x506S2df0c509x507
800 B (UPOL),,5656,M529x531S14c09471x471S17610471x515S17610510x515S11e01504x469
9 (hodin) B (UPOL),,5574,M530x532S14c09470x470S14401502x468S2e428484x499
9 A (UPOL),,5619,M530x515S14c09470x488S14401502x486
9. (datumy) (UPOL),"9. (pořadí) A (UPOL), 9. (pořadí) C (UPOL)",5569,M548x515S14c09453x488S14401486x486S22b26518x494
9. (pořadí) B (UPOL),,5570,M526x526S14c18474x495S14410504x495S26927491x474
9. (pořadí) D (UPOL),,5571,M526x526S14c18475x495S14410504x495S26920492x474
"9. (třída, ročník) A (UPOL)",,5572,M531x519S14c09470x492S14401503x490S21900507x481S21900478x482
"9. (třída, ročník) B (UPOL)",,5573,M532x532S14c09471x470S14401504x468S2e200512x500S2e218468x500
90 A (UPOL),,5640,M530x525S14c09470x498S14401502x496S26920491x475
90 B (UPOL),,5641,M530x531S14c09470x471S14401502x469S17610489x515
900 A (UPOL),,5657,M532x527S14c09472x475S14401504x473S2df14469x506S2df0c511x506
900 B (UPOL),,5658,M530x531S14c09470x472S17610470x515S17610511x515S14401502x470
A,,1837,M509x513S1f820491x487S2f900494x508
A,,455,M521x518S10e0c490x482S10002491x503S20500480x501
a 1,,2185,
a- (biol),bez,512,M570x574S1d110496x543S1d410541x540S1d118475x546S1d418429x544S26506527x556S26512456x559S34c00482x483
absence A (UPOL),,3562,M539x523S14c04510x477S14c0c466x477S22524507x510S22524462x510
absence C (UPOL),,3564,M534x548S30142482x476S34600482x489S15a10500x513S27102519x508
absolutní funkce (IMoTeSP),,968,M535x572S15b20495x535S15a1a507x477S15b38464x428S22b05477x452S22b07511x526S20500503x455S37806473x482S15a1a508x560S37806474x565
absolutní odkaz (IMoTeSP),,871,M569x559S1ce40506x440S1ce48485x446S2c304526x448S15310439x519S22132431x515S26506461x525S15d40483x502S22a04482x533S2f700484x551S15310512x517S22132504x513S26506531x523S15d40550x500S22a04550x530S2f700549x552
abstrakce (IMoTeSP),,872,M552x577S14c20529x449S14c28448x449S2df00523x426S2df18465x423S14c00502x449S14c08477x449S2fb04494x486S14c20495x522S2e601515x543
aby (UPOL),,3565,M526x567S10010510x537S2f900515x529S30d00482x483
adakemičtí pracovníci,,1743,
adaptace (IMoTeSP),adaptabilita (IMoTeSP),810,M536x520S15d48465x493S15d30485x491S20500479x480S26602506x496
adice (biol),přidat,2043,L525x516S18529484x497S18520500x488S20500476x490S26501488x484
