dic_gloss,synonyms,sid,FSW
Ägypten,,5553,M562x611S34a00437x483S35000526x483S35d04467x482S34600498x482S1ea0f466x525S1ea07511x525S37903479x547S3790b476x546S20500457x546S20500530x545S37706447x609S37706479x609S37706513x609
Airbus,,17407,M614x562S19a20584x518S37806582x530S25700590x475S37a06540x560S35000482x483S34600513x482S35d04451x484S36100543x482S37a06425x560S37a06482x560S34a00421x484
Akkusativ,,5156,M605x602S34c00423x483S35d04452x482S34600482x482S36100512x482S34c00542x483S14400532x521S2df08555x523S14420581x504S22b04581x539S14450583x571
aktuell,,8959,M590x608S35d00467x482S35d04439x483S34c00410x483S34600497x482S34700525x482S35c00554x483S20321504x561S20321457x562S37801518x575S37809454x576S22a00509x544S22a10462x543S20301505x522S20301459x520
akut,"akute, akuter, akutes, akuten, akutem",5089,M562x597S34c00437x481S34600497x483S35d04467x482S35d00526x483S17532496x576S14c31491x527S22a00501x557
Albanien,,17825,M575x619S34c00425x484S35000482x484S34c00510x483S22131467x534S35c00453x484S35d00539x482S22131463x529S14c01479x543S14c09499x543S22137521x530S22137518x536S20a00493x528S37803499x563S3780b474x565S37906428x617S37906477x617S37906526x617
Albanien,,15138,M619x616S22113506x534S22115453x535S35d00583x482S34700556x482S34800527x482S35d00499x482S34c00382x482S35c00411x482S35000440x482S34c00469x482S37c03484x549S37c0b485x549S15a07487x549S15a01469x548S37706422x614S37706453x614S37706484x614S37706514x613
albern,,6590,M574x530S34c00454x482S35c00482x482S33200510x482S10011538x500S20e00551x498S26a00547x481
Ali,,24631,M540x556S33100482x483S1f410506x446S21000520x483S26500522x464S1f010497x501S37806472x554S37806508x554
Alica,,3208,M580x554S37b06522x552S1ef10505x488S1f410551x486S37b06474x552S33e00482x482S37b06497x552S31400482x482S26506537x488
Alkohol,,5102,M613x538S34c00437x483S35c00468x483S35d04497x482S34400527x482S16d40545x518S2c305566x510S2c305586x510
Allah,,8673,M598x589S34c00415x485S15d58516x540S35c00444x485S10020484x511S10000486x465S22a00490x502S37110531x523S37158526x520S37158519x520S34c10549x506S15d50570x541S30114535x477S31630541x498S22f04573x574S22f14512x575
alle,,22462,M548x578S15d51483x537S35c00481x483S34c00452x482S34700512x484S2e802497x563
Almosen,,5558,M577x577S34c00423x482S35c00452x482S33b00481x483S34400510x483S36100541x483S18520544x540S23004551x559
Alptraum,,1821,M591x517S31000452x482S31000482x482S30f00511x482S34c00452x482S2e500568x476S35000511x482S15001539x468S35c00482x482
als,,10651,M567x561S34c00452x482S35c00482x482S36100512x482S15d20546x509S22e04550x543
alt,,4325,M570x547S34c00451x483S35c00482x482S35d00513x483S1ed0e521x521S2b700551x507
Aluminium,,3101,M548x603S34c00451x483S23715454x567S34600512x482S1ea0d509x545S1ea05460x544S23703507x567S35c00481x482
Ameise,,4558,M590x567S34c00410x483S33b00439x482S34c00467x481S34800495x481S34700554x481S36100524x481S15052512x536S22522498x535S26602459x543
Ameise,,13327,M588x595S34c00411x482S33b00438x482S34c00466x482S34800493x482S34700552x482S36100523x482S10a41510x521S10a49480x521S27002512x554S27016487x555S2f700535x566S2f700468x566
Ammoniak,,11637,M612x539S34c00398x482S33b00426x482S34400454x482S35700510x482S34c00538x482S35d00483x482S35d04565x482S33110582x488S15d02585x493S2ea08588x514
Amoklauf,,9071,M618x567S34c00383x483S33b00412x482S34400441x483S35d04471x482S35c00501x482S34c00528x482S34600556x482S36500582x482S1e102442x543S2d808470x538S1e147521x530
