dic_gloss,synonyms,sid,FSW
OLDER-SISTER---YOUNGER-SISTER,,104,M542x549S2ff00482x482S20500504x501S20500486x501S1ae08526x527S1ae00458x485S25500471x510S25514516x510
OLDER-SISTER---YOUNVER-BROTHER,,42,M543x545S2ff00482x482S20500504x502S20500485x501S1ae08449x474S1f502528x521S25510464x494S25504514x509
OLDEST,,67,M508x530S1f510493x469S1f518492x515S20500494x499
ONE,,101,M507x515S10020492x485
OWE,,124,M514x544S14000485x514S26600496x456
PANTS,,33,M521x571S36d10479x429S15a14452x491S15a1c484x492S22a04485x534S22a14453x535S2fb04470x565
PATIENT,,29,M570x589S30120484x543S33b00482x411S36d00479x457S20b00508x472S2a600552x452S17310551x485S20500510x473
PEN,,38,M509x538S11a20490x461S2480c493x510
PhD,,65,M601x517S2ff00482x482S20500495x485S11d01518x483S2df08547x490S11d27574x485
PLEASE,,149,M518x517S2ff00482x482S15a10494x459S20500494x485
PLEASE,,157,M518x517S2ff00482x482S14420490x442S20500495x473
POINTED-OBJECT-CL,,152,M507x515S10000492x485
PREGNANT,,39,M518x512S16742500x488S22512482x490
PREGNANT,,60,M529x516S1535a471x496S25100511x483
READ,,16,M520x530S15a00491x469S10e20494x478S27200480x511
READ,,108,M520x528S15a00485x472S10e20490x481S27104480x513
RECEIVE,,70,M545x611S15a16460x574S15a1e518x573S2ff00482x482S26524521x594S26524472x596
RED,,79,M518x562S34400482x482S10000486x511S22a04494x547
RUG,,12,M539x531S15a57461x472S14c31498x484S20500475x488S22510505x469S2ea37517x510
SCISSORS,,43,M527x520S10e01502x490S22512472x479
scold,罵,189,M535x525S1f548465x501S15351476x475S25504502x493S25504522x493
SECOND-CHILD-FEMALE,,153,M522x522S1dc0a478x498S19200501x496S20500501x478
SECOND-CHILD-MALE,,58,M526x520S1dc0a474x496S1f500502x498S20500496x480
second-wife,,24,M520x565S10e02490x434S22a04505x462S19208479x546S20500499x541S1f510501x548
SISTER,,1,M534x517S2ff00482x482S20500502x499S1ae3e512x499
six,"六, 6",203,M515x512S1dc02485x488
SOAP,,37,M529x527S2ff00482x482S21100503x498S15c12520x507
STAND-UP,,98,M561x522S15a16439x486S15a16534x508S20500445x484S20500539x504S10e58443x492S10e04539x479
STAND-UP,,159,M555x532S15a16445x501S10e58448x502S10e04532x468S15a16528x516S20500535x503
TAINAN,,129,M541x530S33100482x482S1eb40517x511S20500505x497S21d00521x496
TAIWAN,,136,M518x560S33b00482x482S20312493x523S28702483x544
TELEPHONE,,17,M539x525S34400482x482S20500508x497S19a01511x503
TEN-THOUSAND,,148,M509x508S16b2a491x492
"Thank you, thanks",謝謝,192,M511x518S1f540494x494S21600489x481S21600503x481
THINK,,128,M518x517S2e110402x484S33b00482x482S1001a430x494S20500475x494
THIRD-CHILD-FEMALE,,11,M526x515S11e09475x485S19200505x485S20500499x493
third-child-females-,,156,
third-child-females-'-husband,,28,M530x548S11e02500x451S19206478x462S20500497x464S19206471x527S20500491x521S1f510495x531
THIRD-CHILD-MALE,,99,M525x527S11e0a474x472S1f500501x486S20500496x516
THOUSAND,,137,M510x509S19220489x490
THREE,,172,M509x514S18720491x485
TIGER,,10,M520x547S2ff00482x482S20500495x509S12821490x523S2880f462x522
TODAY,,165,M546x517S14c50522x486S14c58454x482
TOGETHER,,120,M523x513S15314476x487S1531c508x488
TOMORROW,,170,M541x517S2ff00482x482S20500501x479S10042511x483S28829508x457
TV,,80,M534x507S15a02466x494S27100494x492
TWINS,,83,M536x540S11528521x503S1f502520x461S20500525x487S2d61c490x527S11528465x495
TWINS,,160,M533x547S10018518x496S1f502511x453S20700509x479S2d60c487x534S11528466x495
twins,,140,M539x540S1f500515x460S11528510x491S20800517x482S2880e484x528S11520460x494
UPSET-STOMACH,,78,M553x529S15348453x504S15340525x502S2e613447x472S2e607519x471
UPSET-STOMACH,,110,M533x527S36d00479x523S16708470x482S16700510x484S2e600504x473S2e612464x473
VEGTABLE,,145,M545x520S33b00482x482S20500509x503S20500483x503S15811515x501S15819455x501
VIDEOTAPE,,150,M518x510S17320500x490S26503482x495
WANT,,112,M525x533S1eb30501x514S36a00482x477S20500494x511S32a00482x476
WASH-FACE,,135,M524x556S2ff00482x482S15d00505x529S15d08480x529S2e50f486x498
WATCH,,71,M524x523S1d051501x495S15d58476x478S20500477x506
WHERE,,169,M540x590S30c00482x482S10020525x511S27102525x550
WHO,,22,M540x535S34600482x482S30c00482x482S20500505x500S16f32520x509
WHO,,109,M536x538S34400482x482S30a00482x482S20500505x502S16f32516x512
WILL-NOT--CAN-NOT,,184,M518x530S15a57485x470S14c01492x486S20e00481x486S26503481x507S26503493x517
WINDOW,,35,M522x533S15d02491x499S15d0a477x514S20500496x488S23600483x467
WIRE,,107,M535x520S11a32505x480S11a3a465x480S26506518x506S26512465x506
WOMAN-MARRY-INTO-MAN-,,171,
WOMAN-MARRY-INTO-MAN-'S-FAMILY,,164,M532x528S19206467x471S1f510517x513S20500510x506S26615492x481
WOOD,,174,M532x532S20311511x511S20312499x469S20316499x492S20500503x484S2e300467x472
WRITE,,3,M526x518S10b10509x489S1fa17505x494S15a00475x483
YELLOW,,21,M560x518S10028545x486S1f520536x501S20500531x503S31400482x483S20500494x490
YESTERDAY,,62,M533x532S36a00482x477S20500520x521S10000518x488
YESTERDAY,,167,M534x521S36d00479x517S10000519x450S26504520x482S20500516x509S2ff00484x482S20500522x468
YOU,,117,M533x518S10040517x454S2ff00482x483S26500519x436
young,,144,M518x517S2ff00482x482S14c20489x464
younger-sister,,116,M550x527S2ff00482x483S20500512x502S1c610529x473S22a04537x512
YOURE-WELCOME,,114,M543x606S2ff00482x482S15a04470x544S15a04518x544S20e00492x562S2c705522x576S2c715473x577
YOURE-WELCOME,,183,M527x583S2ff00482x482S15a04473x556S15a04515x554S20e00494x540S2d300478x557
ZERO,,119,M552x534S1761c519x518S26506537x519S2ff00482x482
一,one,111,M508x515S10020493x485
七,seven,204,M515x512S11e02485x489
三,three,199,M509x515S18620491x485
二,two,133,M508x515S10e20493x485
五,five,201,M512x508S1f520488x493
五,five,202,M512x516S14c20489x485
作揖 (女),"恭喜 (女), salute (female), congratulations (female)",214,M517x520S17118491x500S17010500x497S20800484x492S26a20490x480
作揖 (男),"恭喜 (男), salute (male), congratulations (male)",210,M515x521S20310496x506S17118486x497S20800505x493S26a20485x480
八,eight,205,M515x510S1d702486x491
四,four,200,M511x516S14420489x485
年,year,207,M531x525S10002483x493S1eb0a469x476S20500488x479S2e700516x500
快樂,happy,208,M544x534S14c02502x499S14c0a469x511S23604505x479S23610457x481S2fc00493x467
恭喜發財 (女),congratulations and best wishes (female),215,
恭喜發財 (男),congratulations and best wishes (male),213,
新,new,206,M516x542S18500484x459S25604496x477S14c30492x511
新年快樂,Happy New Year,209,
發財,make a fortune,211,M542x540S1ce10510x460S1ce18468x460S2d204509x490S2fb04493x506S14c02506x517S14c0a465x517S2d215458x490
