dic_gloss,synonyms,sid,FSW
ta,,77,M507x507S1f510492x492
Taberu,,74,M521x538S33b00482x482S20600477x521S18507502x511
tabun,,132,M542x525S15a37472x475S15a31505x477S23600503x508S23614457x507
Taisesu,,21,M537x534S2ff00482x482S15a01491x511S20500515x513S20500527x513
takai,,45,M511x534S1ce40489x504S22b00489x466
tanomareru,,183,AS15a44S26904S15a18M508x542S15a44495x515S15a18494x459S26904492x491
te,,171,M511x515S14c20488x484
to,,129,M507x515S11500492x485
Tokyo,,36,M558x528S1dc20516x498S1dc28461x498S22a07536x471S22a11451x471S22a07545x480S22a11442x481
tori,,140,M518x526S2ff00482x482S1f010467x511S20500495x502S22114449x494
tsu,,95,M514x513S1b320486x487
u,,161,M507x515S11520492x485
urusai,,138,M541x518S30006482x483S1f700521x500S20600518x485
wakai,,105,M530x518S30000482x483S21100469x467S15a02483x467S26506515x468
Wakaru,,128,M512x521S15a01487x478S20600490x510
watashi,,73,M522x518S10003492x482S20600478x507
watashi-hana,,13,M539x524S10b00522x498S33100482x482
yasui,,154,M511x535S1ce40489x465S22b04490x505
Yomu,,80,M519x540S15a06480x460S10e20495x477S2480c503x512
Yoru,,79,M526x526S15a21503x473S15a27474x473S20e00493x514S22b03482x490S22b15492x491
Yubisashi-3,,94,M515x511S10047485x490
Yubisashi-3-A,,155,M534x554S30a00467x488S10047504x533S32106496x488S30104467x477
Yuumei,,2,M523x538S22b20498x462S10001502x508S20500491x505S15a20476x498
zikan,,173,M526x524S3770b481x492S20337498x477S10051496x503S20500475x498S20500486x489
오키니와,,310,M569x534S2ff00480x483S10e20528x495S10e00528x452S2df04548x487S22a00551x464S36d00479x530
ぁ,"ァ, -a",299,M510x517S1f720490x502S26504496x484
あ,"ア, a",221,M510x508S1f720490x493
ありがとう,感謝,188,AS15d40S15d5aS22b00S37520M518x562S22b00492x489S15d40494x521S15d5a488x543S37520482x438
ぃ,"ィ, -i",300,M511x517S19220490x498S26504491x484
い,"イ, i",222,M511x510S19220490x491
ぅ,"ゥ, -u",303,M512x519S11520488x489S26504498x481
う,"ウ, u",223,M508x515S11520493x485
ぇ,"ェ, -e",304,M508x518S16620493x500S26504494x482
え,"エ, e",224,M508x508S14a20493x493
ぉ,"ォ, -o",305,M508x517S17610492x501S26504493x483
お,"オ, o",225,M508x508S17610492x492
オレンジ,Orenji,318,M571x555S17610525x509S34d00482x483S2e600542x522
お母さん,"ママ, 母, おふくろ, かあちゃん, 母上, 母親",185,AS10011S22a07S19210S30005M560x541S30005482x483S10011513x511S19210539x495S22a07524x506
か,"カ, ka",226,M515x515S14020486x485
が,"ガ, ga",269,M524x515S14020477x485S22a06509x501
き,"キ, ki",227,M514x515S1a320487x486
ぎ,"ギ, gi",270,M521x515S1a320480x486S22a06506x500
く,"ク, ku",228,M516x508S18040485x493
ぐ,"グ, gu",271,M525x508S18040476x493S22a06510x494
くだらない,,203,M518x589S33b00482x483S14c12487x534S10044498x559S20500464x559
け,"ケ, ke",229,M507x511S14720493x489
げ,"ゲ, ge",272,M516x511S14720484x489S22a06501x496
こ,"コ, ko",230,M515x508S18010485x493
ご,"ゴ, go",273,M524x508S18010476x493S22a06509x494
さ,"サ, sa",231,M508x508S20320493x493
ざ,"ザ, za",274,M517x508S20320484x493S22a06502x494
し,"シ, shi",232,M515x512S11e02485x489
じ,"ジ, ji",275,M524x512S11e02476x489S22a06509x498
す,"ス, su",233,M512x515S11e04489x485
ず,"ズ, zu",276,M521x515S11e04480x485S22a06506x486
せ,"セ, se",234,M508x515S1c620493x485
ぜ,"ゼ, ze",277,M517x515S1c620484x485S22a06502x501
そ,"ソ, so",235,M508x515S10040493x485
ぞ,"ゾ, zo",278,M517x515S10040484x485S22a06502x501
た,"タ, ta",236,M508x512S1f540493x488
た,"タ, ta",301,M510x508S1f740490x493
だ,"ダ, da",279,M517x512S1f540484x488S22a06502x498
タワーホール船堀,Tower hall funabori,190,M514x537S15d3a486x518S10000492x463S37900499x491S20500504x513
ち,"チ, chi",237,M514x511S19620486x490
ぢ,"ヂ, ji",280,M521x511S19620480x490S22a06506x497
っ,"ッ, -tsu",297,M514x517S1b320486x491S26504489x484
つ,"ツ, tsu",238,M514x513S1b320486x487
づ,"ジ, dzu",281,M521x513S1b320480x487S22a06506x499
つまらない,,191,AS15000S22e04S33100S34100M542x551S34100482x483S15000517x498S33100482x483S22e04520x533
つまらない,,210,M539x556S2ff00482x483S15000514x504S22e04518x538
て,"テ, te",239,M512x516S14c20489x485
で,"デ, de",282,M517x516S14c20483x485S22a06502x501
と,"ト, to",240,M508x515S11500493x485
ど,"ド, do",283,M517x515S11500484x485S22a06502x501
どうして？,"なぜ？, どうやって？",198,M518x528S33200482x483S19a10452x508S30a00482x483S34110492x507
な,"ナ, na",241,M508x515S10e04493x485
に,"ニ, ni",242,M515x508S10e02485x493
ぬ,"ヌ, nu",243,M508x513S10610493x487
ね,"ネ, ne",244,M512x516S14c04489x485
の,"ノ, no",245,M521x519S10020506x489S2a20c480x481
は,"ハ, ha",246,M508x515S11540493x485
ば,"バ, ba",284,M517x515S11540484x485S22a06502x502
ぱ,"パ, pa",289,M508x524S11540493x494S22a00494x476
パンダ,Panda,186,M547x518S2ff00482x483S16d10506x487S16d18479x487S20600525x490S20600454x491
ひ,"ヒ, hi",247,M508x515S10020493x485
び,"ビ, bi",285,M517x515S10020484x485S22a06502x501
ぴ,"ピ, pi",290,M508x524S10020493x494S22a00494x476
ふ,"フ, fu",248,M512x515S1dc04488x485
ぶ,"ブ, bu",286,M521x515S1dc04479x485S22a06506x486
ぷ,"プ, pu",291,M512x524S1dc04488x494S22a00498x476
ふじ色,Fujiiro,323,M547x578S1eb10498x536S1eb48473x536S2c310454x555S21100493x518S2c305519x554S15419489x423S15417509x447S24e04526x471
へ,"へ, he",249,M514x510S19a04486x490
べ,"べ, be",287,M520x510S19a04480x490S22a06505x491
ぺ,"ペ, pe",292,M514x519S19a04486x499S22a00494x481
ほ,"ホ, ho",250,M506x515S18100494x486
ぼ,"ボ, bo",288,M515x515S18100485x486S22a06500x495
ぽ,"ポ, po",293,M507x524S18100495x495S22a00494x477
ま,"マ, ma",251,M510x513S18d50490x488
み,"ミ, mi",252,M515x508S18c02485x493
む,"ム, mu",253,M515x512S1dc02485x488
め,"メ, me",254,M511x515S1ce20489x485
も,"モ, mo",255,M508x530S1e430493x471S22a04494x504S21600497x522
も,"モ, mo",302,M508x524S1f436493x495S22a04492x487S21b00494x477
ゃ,"ャ, -ya",294,M514x517S19a20486x497S26504494x484
や,"ヤ, ya",256,M514x510S19a20486x490
ゅ,"ュ, -yu",295,M509x524S18600491x476S26504494x509
ゆ,"ユ, yu",257,M508x515S18c00493x485
ょ,"ョ, -yo",296,M516x519S14402485x497S26504496x481
よ,"ヨ, yo",258,M516x511S14402485x489
ら,"ラ, ra",259,M508x515S11a20493x485
り,"リ, ri",260,M521x519S10e20506x489S2a20c480x481
る,"ル, ru",261,M512x515S11e20489x485
れ,"レ, re",262,M512x515S1dc20488x485
ろ,"ロ, ro",263,M508x514S11010493x487
わ,"ワ, wa",264,M509x515S18620491x485
を,"ヲ, wo",266,M508x517S17610492x501S26504493x483
ん,"ン, n",267,M521x519S10040480x489S2a204498x481
今,,205,M552x581S14c50528x513S14c58446x509S34410496x512S2ff00482x472S36110492x490S2ff10482x499S22b04533x551S22b14450x547
今,,206,M552x581S14c50528x513S14c58446x509S34410496x512S2ff00482x472S36110492x490S2ff10482x499S22b04533x551S22b14450x547
仕方ない,"しょうがない, やむ得ない",192,M539x561S30402482x479S33100482x487S34100482x487S15000514x509S22e04518x543
兄弟,"きょうだい, kyōdai, brothers",220,M530x535S1c600510x465S1c600476x480S23104504x498S23118471x513S2fc05499x520
学校,"がっこー, がっこう, gakkō, gakkou, school",218,M534x526S15d00514x499S15d08467x499S26a10466x484S26a00507x484S2fb00492x474
寿司,,199,M528x516S17139496x485S11551501x491S20600472x495
少ない,足りない,195,M518x530S2ff00482x483S36110492x502S1f710479x515S30004482x483S26504467x499S30a30488x490S20500503x518
思い出,"懐かしい, 片思い",196,M538x518S30007482x483S14c50510x457S26600513x406S22520506x441S31530489x499
意味,,212,M509x526S10004494x496S22e00492x474
手話,,202,M526x539S10012496x461S1001a474x471S2e700509x495S2e74c479x497S2fb04494x533
時間,"じかん, jikan, time",219,M526x520S20339495x481S37b0b490x495S10b51496x499S20603475x482
暗闇,kurayami,322,M551x548S31b00482x483S15d28447x519S15d20532x521S2d800487x520S2d818468x521
本,,207,M545x516S15d40502x489S15d48481x489S2a208522x486S2a210455x485
本,,208,M545x516S15d40502x489S15d48481x489S2a208522x486S2a210455x485
桃色,"ピンク, pinku",320,M544x581S17740499x544S17718478x544S2c310456x555S21100491x527S2c305517x557S18110498x432S18118485x432S27122488x466S20500492x419
江戸川,Edogawa,189,M535x596S2ff00482x483S1ec40512x489S21100521x511S22a04521x527S18650496x532S22b04498x566
灰色,"Haiiro, Gurē",314,M549x616S1eb10502x574S1eb48477x574S2c305522x592S21800490x523S21100496x555S11020510x516S33b00482x483S2c310459x590S21410533x531
理容,"理髪, 散髪, 床屋",200,M532x521S11521493x496S11529474x494S22f07511x485S20f00468x479
白,shiro,312,M532x537S36100482x483S10a00517x510S26502492x523
終わり,"終了, おしまい",194,AS1853dS18535S22104S22104S22a04S22a14M535x524S1853d508x505S18535465x505S22104513x497S22104474x497S22a04513x477S22a14474x478
緑,midori,316,M570x526S14c08474x474S14c00504x474S23600531x489S23614431x487S26606512x510S26612459x509
色,iro,311,M543x528S17740499x491S17718478x490S2c310458x503S21100492x472S2c305516x504
茶色,chairo,317,M523x561S20300493x523S23004488x543S30004482x483S20e00511x515
薄暗い,,324,M577x567S31b00482x483S14c28441x514S14c20536x513S2d800487x520S2d818468x521S29100549x534S29118422x534
覚悟を決める,"これしかない, 思いきって",193,AS15000S22e04S2f900S33100S30c00S35000M542x559S22e04520x533S15000517x498S33100482x483S35000482x483S2f900523x554S30c00482x483
言う,,211,M518x557S2ff00482x483S10010487x508S26524488x542
試す,,201,M537x571S34e00482x489S21e00514x535S21c00531x535S1bb30512x543S30251496x477
貧乏,,197,M530x531S2ff00482x483S36110492x502S1f710481x513S30004482x483S20500506x520S30a30488x490S20500520x520
赤,aka,315,M518x542S33b00482x483S10c00480x520S26506500x527S20e00471x510
赤,aka,332,M534x543S34700482x483S10001495x512S20e00517x514S26506519x529
趣味,"しゅ​み, shumi, hobby",217,M562x520S2ff00482x483S14c20530x489S21a3a523x482
逆終わり,,209,M513x529S15536487x472S17746491x509S22a00492x492
通訳,紹介,204,M521x549S30004482x483S1f540506x519S26a02488x522
違う,,213,M513x522S1dc40489x478S2a234487x511
金色の,"ゴールデン, Gōruden, Kin iro no",321,M549x617S17740504x580S17718483x580S2c310461x591S21100496x563S2c305522x593S2ff00482x483S1ce40522x491S2e230521x525
青,ao,319,M550x534S30005482x483S15d03518x502S20e00500x522S22a07537x516
青,ao,333,M550x534S30005482x483S15d03518x502S20e00500x522S22a07537x516S34410495x504
頼む,お願い,184,AS15a10S33100S37520M518x532S37520482x468S15a10494x505
黄色,Kiiro,325,M518x518S30000482x483S1dc10463x459S22114446x457S20500495x468
黒,kuro,313,M558x523S30007482x483S15d11515x479S22105549x514S22a05535x499S20e00501x470
