dic_gloss,synonyms,sid,FSW
Abteilungsleiter,S4-06940,2953,M569x535S15a49509x512S18531531x490S20800537x509S26527556x480S15340468x487S15348431x488S22a02457x518S22a16438x518S20a00447x465
abtrocken-5085,,1818,M521x528S15d39478x497S15d51487x505S2ea32486x472S21100508x492
abtrocken-8958,,4087,M520x518S15d39479x493S1f750488x503S21100507x482
abwaschen-1,,3595,M513x518S1f750486x503S2ea36488x482
abwaschen-5159,,2638,M520x516S1f750495x501S1f738480x488S21100507x483
abziehen,S3-05832,240,M519x544S15a48480x483S15210495x456S17610499x528S20e00500x492S22f04494x508
abziehen,S3-05832-K1,4469,M519x544S15a48480x483S14c18495x455S17610499x528S20e00500x492S22f04494x508
Achilessene,,4427,M567x543S15d28433x460S1f037446x488S1ea41536x456S1ea49501x458S37709432x487S22a03451x529S21100464x516S22b12500x486S22b12500x505S22b06536x485S22b06537x505S2f800516x527
Acht-6507,,4362,M529x515S14c08471x484S11e01504x485
Achte-1927,,2728,M530x530S11e20502x472S14c28470x470S2df1c470x509S2df04509x509
achthundert,S3-01188-K,2903,M567x520S11e01468x482S14c08433x480S20307546x489S22a03537x506
achthundert-2,S3-06715,131,M559x526S1ce20514x487S22114513x473S26506544x499S11e20468x485S14c28440x484S2f900447x520S2f900477x521
achthundert-2,S3-06715-K,135,M559x526S1ce20514x487S22114513x473S26506544x499S11e20468x485S14c28440x484S2f700444x519S2f700475x519
Achthunderteinundneunzig-6643,,1520,M579x532S14c08420x469S11e01448x469S1f500492x473S14c08527x468S14400555x468S2a204556x504S2a21c525x503S2b705455x506S2b714423x505
Achtundachtzig-6544,,2768,M559x532S14c08441x470S11e01468x470S2a21c505x503S2a204536x504S11e01530x469S14c08505x468
Achtunddreissig-1932,,1681,M553x532S14c08447x467S11e01474x467S11e01525x467S2a204530x504
Achtundfnfzig,,4328,M547x532S14c08452x469S11e01479x469S14c08524x468S2a204524x504
Achtundneunzig,,3654,M562x533S14c08437x467S11e01464x467S14400536x467S14c08510x468S2a204539x505S2a21c508x504
achtundsechszig,,2319,M565x533S14c08435x468S11e01462x468S14c08510x468S1f500541x476S2a21c510x505S2a204539x505
Achtundvierzig-1945,,1509,M545x531S14c08455x469S11e01481x469S14400519x468S2a204522x503
achtundzwanzig-2432,,2540,M550x531S14c08449x468S11e01475x468S1dc01527x468S2a204526x503
Achtung,,628,M513x526S10010491x496S26b00486x474
Achtung,,4549,M514x527S10010490x497S26a00487x474
Achtzehn-4468,,3088,M532x549S14c28468x451S14c20509x451S14c28470x518S11e20504x519S2c615479x487S2c604503x487
Achtzehn-6518,,1003,M529x535S14c08473x465S11e01500x465S2e508506x506S2e510470x508
Achtzehn-8749,,847,M530x533S15d39470x474S11e00500x466S20e00486x498S2e50d507x506
Achtzig-6532,,838,M526x535S14c08473x465S11e01499x464S2a204503x507S2a21c473x507
Acrylglas,,922,M611x577S1ea41444x532S1ea49400x531S34600449x483S35d04419x481S34c00390x482S23604462x553S23614375x554S10e49519x547S10e41538x522S20600510x541S35d04488x483S35c00518x484S34c00547x484S36100575x484
Ade,,3178,M511x538S14c20488x461S27102493x498
Adler,S3-07226-K,1221,M543x540S33100482x482S10620520x492S22e04526x522S20500495x494
Adresse,S4-07474,1621,M537x524S11502464x492S26f06501x484S15a36463x475S22b04521x489
Adresse,S3-02821-K,3829,M528x521S1e148472x495S1e140504x495S20600489x478
Advent,,95,M548x528S1ea41520x509S1ea49494x497S20e00522x493S26900519x472S1f550451x486S22e06461x509
Advent,S3-02822_K,3122,M629x544S2d608592x506S22a04616x487S20500510x515S22a04600x482S1f540582x519S30004482x482S1f540494x520S22a04583x490
Advent-3,,1412,M630x547S2d608589x506S26500597x479S26501578x488S26507617x488S1f540584x523S30004482x482S1f540493x521S20500511x516
Advent-4,,1918,M524x530S2d608490x496S26500495x470S26501479x477S26507511x476S1f540475x506
Advent-5,,3936,M524x530S2d608487x493S22a04511x474S22a04478x477S22a04495x469S1f540477x506
Affe--Betont-,,1286,M563x536S36d00479x465S14e0b463x487S14e03509x489S20f00508x524S20f00463x523S22f00538x505S22f10435x505
Affe-07188,,4557,M546x538S36d00479x462S14e03515x474S22f00520x508S20f00520x526
Affe-7188,,3534,M531x538S36d00479x463S20f00505x509S14e03504x477S22f00506x524
Afrika,S3-01007-V3,750,M528x530S17d20472x469S18527509x503S2880b503x477
Afrika,S3-01007-K,2306,M520x542S15220479x457S18520494x518S23c04496x486S2f900509x537
Afrika,S3-01007-V,2590,M525x540S2f900514x535S18520498x516S23c04498x484S14c20475x460
Afrika,S3-01007-V2,3413,M523x540S15220477x459S18527504x513S2880b498x487
Afrika-3,,2148,M565x521S36d00479x517S20310532x478S23600526x499
aggressiv,S3-09039-K,351,M532x546S2f700475x522S14e09468x456S14e01501x455S2fb00492x540S22f00506x503S22f10469x504S2f700512x522S20f00468x488S20f00506x488
aggressiv,S3-09039-V,1519,M532x519S15009468x480S15001504x480S2f700472x512S2f710515x512
aggressiv,S3-09039-K1,2701,M532x518S15009468x481S15001504x481S2f900519x513S2f900469x513
Agrument-2,,679,M549x530S30004482x482S11502519x507S20500508x519S28108528x471
ah-09144,,209,M507x515S10010492x485
Ah-9144,,927,M507x515S10010492x485
Ahnungslos--Null-,,1703,M537x517S30000482x482S20500494x468S1ce10515x456
Ahorn-,,2097,M537x551S10029468x448S10021504x449S20500496x460S23b03506x482S23c03515x511S23b1b475x482S23c1b463x511S20500495x540
Ahorn--Bibi-,,2294,M571x508S1f020503x492S1f028468x492S26612429x491S26606541x492
Aids,,1693,M532x518S10002502x503S10e0c500x482S20500480x498S20500467x497
Aids-2,,4284,M528x517S10e04499x482S10002498x502S20600472x498
Aktion,S3-03735-K,2641,M513x519S18210488x480S22a04500x504
Aktiv,,4123,M548x549S36e00477x516S31500481x482S20341522x526S20349461x528S28200528x488S28218452x486
Aktiv-6182,,2039,M532x524S20300513x509S20300471x509S2e50d509x476S2e515467x476
Aktivitten-9126,,3366,M532x524S20300513x509S20300471x509S2e50d509x476S2e515467x476
aktuell,S4-03736-V,1486,M524x526S17630508x510S21b00480x476S22a00510x490S21b00513x475S17630476x510S22a10477x490
aktuell,S4-03736,3611,M529x537S17630508x521S14c30505x464S22a00510x501S14c38471x464S17630476x521S22a10477x501
akzeptieren,"S4-00161, annehmen, S4-07476",367,M528x549S15220505x450S15228474x450S18551501x514S18559472x514S26504505x489S26514478x489S20500481x537S20500508x538
Akzeptieren-161,,3915,M518x583S2ff00482x482S20500495x502S1f702491x524S22a04492x568S21100493x550
akzeptieren-2,S4-00161,2154,M530x546S35000482x482S1f502492x512S21100517x513S22a04516x531
Akzeptieren-402,,4295,M528x549S15220505x450S15228474x450S18551501x514S18559472x514S26504505x489S26514478x489S20500481x537S20500508x538
Alabama,,718,M537x521S1f720463x504S1f720516x504S1dc20487x491S26500501x478S26504523x479
Alarm-8605,,4646,M507x537S10020492x462S27102492x497
Albanien-2,S3-05762-K,3158,M538x520S14c09501x493S14c01474x493S20a00492x480S22511463x481S22517520x481
Albanien-2,,3461,M548x517S17120518x473S30000482x482S20f00487x465S26b04521x499
Albanien-int-1,S3-05957-K1,3311,M545x517S30007482x482S20500508x473S15321522x454S2ad00532x480S20500518x485
Albanien-int-1,S3-05957-V,4619,M554x528S20500512x517S15327531x505S30005482x483
Albanien-int-1-,S3-05957-V1,4233,M537x517S2ff00482x482S20500511x471S15320522x481
Alessia,,4691,M577x547S33010424x485S1ce10480x487S20800464x505S10010544x517S26504563x530S30004540x481S20e00564x514S33e10551x502S31430548x490
Algerien,,482,M544x535S2ff00482x482S19a10516x475S2e230521x503
Algerien-int,S4-07810,2331,M543x537S19a02500x473S19a0a471x473S20500488x463S27000503x509S27010457x509S2fb00491x531
Ali--GSR-,,2250,M546x517S30000482x482S15a5e484x463S26500529x448S2c300520x471
Alicante,,238,M541x526S30005482x482S12d20518x493S20500512x515S22124518x480
Aligator,,4603,M513x536S1535a488x485S15336488x503S22f10487x522S22f04488x465
alle,,3764,M518x520S10051482x499S2d608489x479
Alle,,2679,M512x525S14c20489x474S2e706487x510
Alle-5207,,182,M528x513S15d50472x486S2d608499x487
Allein,,779,M510x530S10000491x470S2f004490x509
Allein,,3174,M513x527S10000491x472S2ea06488x512
allein-463,,3282,M512x524S10000493x475S2ea32487x509
allein-488,,1136,M508x528S1f510493x471S22b04492x498
alles-5065,,3824,M534x541S16f50503x469S16f58473x469S16f38474x510S16f30503x510S20500497x458S20500497x530S28814465x487S2880c522x487
allgemein,"S4-3741, Ball",3255,M531x548S28814469x489S2880c519x488S15351500x464S15359474x464S15337503x514S1533f475x514S20500493x452S20500495x537
Alpen-3742,"Felsen, S3-03925",969,M562x533S14c1f535x506S14c17439x507S24d01504x481S24d19458x480S20500492x468
Alphabet,,1985,M532x521S1f720469x485S14720496x479S16d20515x481S26606489x505
Alphabeth,,2798,M531x521S1f720468x485S14720495x479S16d10514x481S26606488x505
als-469,,661,M517x532S10020502x467S2a20c482x504
als-469,,3380,M516x531S10020501x469S2a20c484x503
alt-00478,,3338,M538x536S30004482x482S20340492x521S20600516x515
alt-2438,,93,M529x596S36e00477x523S31500481x489S30142481x476S20350512x539S27102514x556
alt-3122,,1934,M545x537S30004482x482S18510520x485S16032484x523S26500527x504S20e00528x525
Alter-8622,,4104,M532x536S15d48467x463S15d40513x464S27106510x496S27112472x495
altmodisch-a,S3-05163-K,492,M586x548S30004482x482S20310492x521S20600516x515S14c20563x489S22e04565x530
altmodisch-a,S3-05163,989,M595x541S30004482x482S20340492x521S15a20580x490S26904579x523S20600516x515
altmodisch-b,S3-00216-V2,1527,M551x517S33100482x482S19a08523x495S20500495x494S20f00521x484
altmodisch-b,S3-00216_K,2191,M550x547S33100482x482S19a10522x498S26a02509x520S20500495x494S20e00526x525
altmodisch-b,S3-00216-V,2875,M549x518S33100482x482S19a10521x498S20500495x494S20f00521x484
Ambulanz,S4-07456,564,M543x545S15200522x456S17638527x493S17638457x491S15208457x455S36d00479x504S2e018456x515S2fb00489x533S2e000520x516
Ambulanz,S4-07456-V,3179,M543x534S21b00531x468S17638527x482S17638457x480S2e000520x505S36d00479x493S2e018456x504S2fb00489x522S21b00461x467
Ameise-7197,,3718,M547x521S15a56492x509S14e52516x478S37706462x513S22512501x481S20500487x487S26602453x483
Amen,,1163,M541x578S30000482x482S15d01518x474S23304489x528S20500497x466S20500496x567S20500473x534S20500527x534
Amerika--Nord-und,Sd-,2564,M523x524S14c0a479x501S14c22476x476S20500513x496
Amerika-817,,584,M532x530S14c0a468x489S14c02501x489S20700491x515S2e752487x469
Ampel,S3-08319-V,3009,M518x525S17600482x488S21b00486x475S22a04505x476S22a04505x493S22a04505x510
Ampel,S3-08319-V,3752,M527x538S15200473x461S17600478x501S21b00496x490S22a04513x488S22a04513x506S22a04514x523
Ampfel,S3-08319_K,1377,M518x534S17600481x479S21b00485x466S22a04504x479S22a04504x499S22a04505x519
Amsel-7232,,375,M518x530S33100482x482S20500495x494S1f421462x509S22115455x507
Amsterdam,S4-01093-K1,788,M525x546S20500489x535S22c04509x494S20500487x485S1001a475x458S20500489x511S10011495x454
Amsterdam,S4-01093,2048,M537x570S10011485x492S1001a465x495S20500486x430S1001a464x445S1001a468x544S10011484x441S10011488x540S20500487x480S20500496x528S22c04521x477
Amsterdam,S4-01093-K,4478,M537x570S10011485x492S1001a465x495S20500486x430S1001a464x445S1001a465x544S10011484x441S10011488x540S20500487x480S20500496x528S22c04521x477
analysieren,,3359,M530x536S10e11505x478S10e19470x478S21800507x463S21800474x463S22b24493x506
Ananas-,,96,M525x516S1533e474x483S15352474x501S20600503x493
Ananas-7250,,4345,M543x540S1ef20502x474S1ef28469x474S1ef36479x497S1ef3e502x497S20500493x460S20500494x529S28814456x492S2880c531x492
andere-5240,,4568,M526x520S10e51474x495S2a208503x480
anders-2-00473,,2966,M540x526S10001504x495S10009477x496S20500495x483S2d210460x473S2d201514x474
anders-5240-V2,,1,M541x514S10e37511x489S10e51459x488S2880a488x486
andersmal-9080,,4482,M518x523S10002488x508S2bd00481x477
Andorra-int,S3-05768_K,4163,M513x526S1ce40491x474S2ea0a487x511
Andreas--Gaegi-,,48,M538x543S36a00482x477S15302488x528S20600516x517
Andreas-1,,3436,M550x539S33100482x482S1f511521x499S21100502x497S2880c538x517
Anerkennung,S4-02781,2408,M542x544S15d30457x518S11e51476x496S11e20519x455S20500472x520S28803497x478
Anerkennung-2491,,3554,M546x523S30000482x488S30104482x477S1ea17517x476S2b700512x448S2b705532x448
Anerkennung-2781,,2703,M542x544S15d30457x518S11e51476x496S11e20519x455S20500472x520S28803497x478
Anfang-212,,795,M512x525S1f552488x476S2a20c489x497
Anfang-8915,,3775,M529x524S1f552505x475S1f55a474x475S2a20c506x496S2a214470x496
Angebot,,1712,M530x524S15a37470x479S15a31507x501S20b00490x492S2b702500x476
Angebot-9174,,69,M520x519S15d39479x486S15d31490x496S20500510x481
Angelrute,,3284,M559x535S1ea17462x482S1ea1f448x507S1ea47540x469S1ea09509x499S2b720441x466S20500474x511S2ea30541x500
angenehm-111,,3423,M520x526S14c02480x473S20e00500x496S22f04495x512
angestellt-82,,991,M516x525S1f540486x474S15d39484x502S20500506x486
angreifen,S4-05813,807,M528x539S14c50504x507S20350511x462S26500511x486S14c58471x508S26510476x485S20350475x462
angreifen-4186,,3601,M511x544S14c20488x513S20320492x455S26600492x478
Angst,,4190,M525x523S36d00479x477S20600503x512S20300506x489
Angsthase,S3-00549-K,4504,M536x517S30007482x482S11500518x461S11508467x461S22104524x452S22104464x452S30001482x482
Animation,S3-02680,337,M533x533S20332515x468S2033a470x469S2e510466x495S2e508510x495S2fb04494x527
Anker,,4241,M508x523S10a30493x497S22a00492x486S2f700491x477
ankommen,S3-06600-V,2483,M536x507S15a52509x494S26502486x493S2f700465x495
ankommen,,2711,M523x519S10a37497x480S26603477x497
ankommen,S3-06600-K,3861,M541x508S15a52514x494S26602478x492S2f900460x498
ankommen-1,,4288,M526x519S10037496x481S2b703474x503
ankreuzen,S4-03752-V,1543,M527x514S1f420498x486S2330b472x492
ankreuzen,S4-03752,3890,M521x519S1ea20498x481S2330b478x497
Ankunft-3754,,4177,M508x530S10a30493x470S26604492x500
Ankunft-c,S4-01253,2972,M514x525S19a50486x476S25504493x503
anmelden,S4-00482-K,2352,M527x519S15a36488x507S18551500x481S20600472x492
anmelden,S4-00482,4535,M527x519S15a56488x507S18551500x481S20600472x492
annulieren,S4-2017,506,M526x531S15d39474x469S10051496x483S20e00485x492S23303482x509
annulieren-2558,,4363,M528x544S1ea40503x488S1ea58472x488S20e00491x473S26610473x455S26604512x514
anpassen,S4-07429,1386,M545x522S1ea38455x479S1ea30522x479S22a02502x486S22a16483x486S20500496x501S2fb00494x516
anpassen,S4-07429-V,4534,M531x513S1ea31503x494S1ea39469x494S20500495x487
anpassen-32,,1105,M518x517S15d31492x494S15d39481x484S20500508x482
