dic_gloss,synonyms,sid,FSW
(신체기관)장_1_1,"(신체기관)장, 1",59132,M649x586S30a00481x483S36d00479x523S36d00480x582S10c04496x530S20500495x555S34110491x503S15330609x539S27106634x532
(신체기관)장_1_1,"(신체기관)장, 2",59133,M533x594S1180a364x577S20500380x563S11802382x545S33b00467x483S34400497x482S15d19466x546S10c20496x572S26500494x549
(신체기관)장_1_1,"(신체기관)장, 3",59135,M608x564S31b00420x483S11800440x502S26c02444x534S31c00545x482S1bb21581x493S20500576x496S1ce48536x526S2f900544x559
(신체기관)장_1_1,"(신체기관)장, 4",59139,M548x584S30300467x477S34110479x510S1ce40526x545S1ce48453x546S26502507x562S26516478x563S21c00474x550S21c00522x550S34400497x486S20500495x563S2f900461x579
(신체기관)장_1_1,"(신체기관)장, 5",59141,M601x593S36d00420x523S36d00421x580S1ce52432x549S24d04467x558S36d00536x521S36d00538x577S15302556x555S26900585x557S34100538x483
(신체기관)장_1_2,"(신체기관)장, 1",59155,M593x617S36d03422x533S15d20440x564S26b00440x599S26902552x519S31500427x490S30a00541x486S36d03536x531S15d10574x507S30250441x479S30250555x475S34410440x511S34d10556x509
(신체기관)장_1_2,"(신체기관)장, 2",59157,M616x536S36d03412x522S34d00418x486S30250433x476S15d01441x510S26904468x514S36d03546x525S34d00553x489S30250565x479S20800577x508S1f100587x514
(신체기관)장_1_2,"(신체기관)장, 3",59159,M587x590S36d03413x528S34d00420x488S31a30426x498S10a10461x502S20500454x496S30357438x475S36d01545x528S34a00541x490S15d01557x567S20500562x548S30251552x476
(신체기관)장_1_2,"(신체기관)장, 4",59163,M607x588S36d01411x527S34a00410x488S30251422x478S1ce42417x544S21100431x572S24d04451x553S14c01581x541S14c07535x538S22e24560x567S36d01548x523S34a00550x488S30251565x478
(신체기관)장_2_1,"(신체기관)장, 1",59183,M579x542S15d11443x509S15d19422x509S20500440x497S2f900425x537S15d19526x511S2f900529x535S10c20554x486S2c300553x458
(신체기관)장_2_1,"(신체기관)장, 2",59199,M585x617S36d00415x539S36d00417x613S1ce42418x560S21100435x589S24d04453x569S31400549x483S21100562x514S20341540x524S28806559x538S33e10559x507
(신체기관)장_2_1,"(신체기관)장, 3",59207,M526x627S15d48337x544S20500354x554S1f550364x551S2880a382x538S14c01403x550S14c18479x540S20500497x557S14c10503x539S2dc02504x578S36d01479x522S34900483x483
(신체기관)장_2_2,"(신체기관)장, 1",59253,M560x529S17648441x491S10a51455x472S20700441x514S22e04469x496S15d38510x485S20e00519x494S15d41531x482S26d00533x508S2f900519x514
(신체기관)장_2_2,"(신체기관)장, 2",59257,M648x546S15d38460x492S2f900467x521S36d00478x455S36d00481x542S1ce42498x480S21100492x488S24d04508x506S15d38584x491S2f900591x520S21100594x499S1eb50624x499S28802609x486
(신체기관)장_2_2,"(신체기관)장, 3",59265,M586x583S15d38402x539S34400414x482S33b00443x483S1eb02423x544S20500422x503S26504427x568S33e00550x482S1ff02538x522S21100562x512S28806561x526S2f900409x567
(신현지)2년전,,49606,M537x529S3780b463x499S20319485x487S10e00504x472S21414522x492S26504505x505S20500496x490
(신현지)곳,,49602,M508x524S15450493x477S22a04493x509
(신현지)도시,,49568,M520x531S15d48481x504S15d40501x504S21100494x512S22b00499x470
(신현지)많다,,49589,M529x581S30f00482x483S21600521x573S20351470x532S26615501x547S14c19490x521S37803484x545S21100491x553
(신현지)모여들다,,49572,M551x526S14e51523x497S14e59449x497S26501503x476S26517483x475S22511513x489S22517467x488
(신현지)문장1,1,49621,M537x529S3780b463x499S20319485x487S10e00504x472S21414522x492S26504505x505S20500496x490
(신현지)문장1,2,49623,M556x520S15d00501x493S15d08478x493S22b06521x497S22b12445x498S26f00516x480S26f10444x480S2fb00490x481
(신현지)문장1,3,49625,M508x524S15450493x477S22a04493x509
