Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S1e4,3,0.43%,2,0.42%,"Amadora (sid_50), longe (sid_117)",655,92.91
S1c1,2,0.28%,2,0.42%,"hospital (sid_141), medico (sid_136)",657,93.19
S1d5,2,0.28%,2,0.42%,"8 (sid_36), 8 (sid_478)",659,93.48
S16f,2,0.28%,1,0.21%,Todos (todos) (sid_260),661,93.76
S1ee,2,0.28%,2,0.42%,"olhar-dúvida-direita (sid_387), olhar-dúvida-esquerda (sid_388)",663,94.04
S1e6,2,0.28%,1,0.21%,"não (NÃO, Não) (sid_391)",665,94.33
S105,2,0.28%,1,0.21%,meu nome gestual (sid_485),667,94.61
S1d0,2,0.28%,2,0.42%,"L'Épée (sid_106), L'Épée (sid_107)",669,94.89
S157,2,0.28%,1,0.21%,junto (sid_503),671,95.18
S11a,2,0.28%,2,0.42%,"X (x) (sid_59), alfabeto X (sid_321)",673,95.46
S1a1,2,0.28%,1,0.21%,handshapes Val Feb 28 2017 (sid_326),675,95.74
S17f,2,0.28%,2,0.42%,"Tudo bem 2 (tudo bem 2) (sid_279), tudo bem (sid_217)",677,96.03
S1d6,2,0.28%,2,0.42%,"H (h) (sid_45), alfabeto H (sid_305)",679,96.31
S119,2,0.28%,2,0.42%,"alfabeto N (sid_311), n (sid_295)",681,96.6
S18c,2,0.28%,2,0.42%,"alfabeto W (sid_320), implante coclear (sid_124)",683,96.88
S153,2,0.28%,2,0.42%,"CULTURA (sid_460), CULTURA (sid_466)",685,97.16
S1d8,2,0.28%,2,0.42%,"F (f) (sid_40), alfabeto F (sid_284)",687,97.45
S12f,1,0.14%,1,0.21%,suicidio (sid_153),688,97.59
S14b,1,0.14%,1,0.21%,"SABER (SABER (PRÁTICO), HABILIDADE, TER JEITO, TALENTO) (sid_339)",689,97.73
S137,1,0.14%,1,0.21%,r (sid_297),690,97.87
S17d,1,0.14%,1,0.21%,polícia (sid_329),691,98.01
S182,1,0.14%,1,0.21%,policia (sid_163),692,98.16
S1c3,1,0.14%,1,0.21%,"permanecer (desde-antes-até-agora, manter) (sid_424)",693,98.3
S14a,1,0.14%,1,0.21%,alfabeto S (sid_316),694,98.44
S1bb,1,0.14%,1,0.21%,Ervilhas (sid_128),695,98.58
S1ef,1,0.14%,1,0.21%,nome (sid_71),696,98.72
S143,1,0.14%,1,0.21%,A (a) (sid_29),697,98.87
S142,1,0.14%,1,0.21%,LGP (lgp) (sid_399),698,99.01
S1d2,1,0.14%,1,0.21%,4 (sid_33),699,99.15
S181,1,0.14%,1,0.21%,configuração-de-mão (sid_408),700,99.29
S141,1,0.14%,1,0.21%,alfabeto A (sid_214),701,99.43
S154,1,0.14%,1,0.21%,cultura (sid_8),702,99.57
S1db,1,0.14%,1,0.21%,ASSIM (sid_464),703,99.72
S156,1,0.14%,1,0.21%,ADQUIRIR (sid_465),704,99.86
S160,1,0.14%,1,0.21%,"Cão (cão , cachorro, cadela) (sid_223)",705,100.0
