Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S1ef,3,0.47%,3,0.76%,"العنوان عنوان موضوع الموضوع سورة السورة الاية اية (sid_47), دكتور دكتوراة (sid_191), موضوع (عنوان) (sid_383)",555,87.4
S107,3,0.47%,2,0.5%,"انتر نت (sid_117), سؤال استفسار استفهام يسال سال اسال (sid_136)",558,87.87
S179,3,0.47%,2,0.5%,"حيوانات. (sid_187), صديق اصدقاء صاحب اصحاب (sid_54)",561,88.35
S152,3,0.47%,2,0.5%,"اشجار شجر غابة (sid_84), حيوانات اغنام ماعز غنم (sid_89)",564,88.82
S180,3,0.47%,2,0.5%,"afternoon (sid_274), الاب (والد, اب, الوالد) (sid_223)",567,89.29
S12b,3,0.47%,2,0.5%,"مثل مثله يشابه يشبهه (sid_133), مثل مثله يشابه يشبهه (sid_134)",570,89.76
S1f5,3,0.47%,3,0.76%,"Adam Feedback 18 (sid_327), أ الف حرف الالف (sid_167), يشرب شرب شرب ماء الماء (sid_354)",573,90.24
S19d,2,0.31%,1,0.25%,سرير (sid_349),575,90.55
S15c,2,0.31%,1,0.25%,سفينة (باخرة) (sid_395),577,90.87
S171,2,0.31%,1,0.25%,صديق (صاحب) (sid_396),579,91.18
S142,2,0.31%,2,0.5%,"طاء حرف الطاء ط (sid_156), محرم حرام يحرم تحريم (sid_178)",581,91.5
S110,2,0.31%,2,0.5%,"ثعبان (sid_397), زكاة (الزكاة, يزكي) (sid_242)",583,91.81
S123,2,0.31%,2,0.5%,"حج (الحج, حجة) (sid_240), عمرة يعتمر (sid_249)",585,92.13
S178,2,0.31%,1,0.25%,عاري (sid_127),587,92.44
S17c,2,0.31%,1,0.25%,ليل (الليل) (sid_261),589,92.76
S114,2,0.31%,1,0.25%,مختلف اختلاف يختلف فرق كل شيء (sid_80),591,93.07
S119,2,0.31%,2,0.5%,"يخاف (خوف, خائف) (sid_263), يقرأ , قراءة (sid_17)",593,93.39
S11f,2,0.31%,1,0.25%,1000 (العدد الف) (sid_264),595,93.7
S1a1,2,0.31%,1,0.25%,الشيطان (sid_14),597,94.02
S154,2,0.31%,1,0.25%,"تفسير (تفسير , Interpretation, اعطاء معنى الكلمة  give the meaning) (sid_6)",599,94.33
S14f,2,0.31%,2,0.5%,"العيد (عيد) (sid_259), فجر (الفجر) (sid_254)",601,94.65
S183,2,0.31%,2,0.5%,"Adam Feedback 4 (sid_313), Adam Feedback 5 (sid_314)",603,94.96
S153,2,0.31%,1,0.25%,Adam Feedback 23 (sid_332),605,95.28
S147,2,0.31%,2,0.5%,"Val Feedback 7 (sid_303), ك كاف حرف الكاف (sid_159)",607,95.59
S106,2,0.31%,2,0.5%,"Val Feedback 8 (sid_304), واجب (لازم, فرض, غصب) (sid_238)",609,95.91
S187,1,0.16%,1,0.25%,ث حرف الثاء (sid_138),610,96.06
S192,1,0.16%,1,0.25%,م حرف الميم ميم (sid_162),611,96.22
S19b,1,0.16%,1,0.25%,Adam Feedback 9 (sid_318),612,96.38
S118,1,0.16%,1,0.25%,فقير فقر مسكين (sid_189),613,96.54
S1f4,1,0.16%,1,0.25%,Adam Feedback 3 (sid_312),614,96.69
S10d,1,0.16%,1,0.25%,طاعة يطيع مطيع اطاعة (sid_213),615,96.85
S13f,1,0.16%,1,0.25%,محرم حرام يحرم تحريم (sid_178),616,97.01
S181,1,0.16%,1,0.25%,نفق (sid_387),617,97.17
