Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S150,27,1.32%,21,1.66%,"Contento (sid_287), Contento (sid_288), Especial (especial) (sid_456), Gato (sid_16), KOALA (sid_2023), Mandarina (mandarina) (sid_439), Nuevo León 1 (sid_746), TRISTE (sid_952), TRISTE (sid_954), ball (sid_169), ball (sid_80), cat (sid_17), fifth (sid_8), gato (sid_1393), koala (sid_1979), lograr (logro, conseguir, (to achieve)) (sid_1550), patas (sid_369), patas (sid_373), quinta (5°) (sid_871), rest (sid_26), triste (sid_1404)",1401,68.68
S19a,23,1.13%,18,1.42%,"C. María Hernández (sid_1934), Joven (sid_291), Online (sid_1237), Patricia Salazar Díaz (sid_2011), Perdon (sid_210), Toro (sid_1927), Toro (sid_2078), Y (sid_514), Y. (sid_1918), Yucatán (sid_761), drink (sid_36), equivocarse (equivocación, (mistake)) (sid_1424), llamar por teléfono ((call by phone)) (sid_1547), muchacha (sid_422), py (sid_1104), uy (sid_1101), y (sid_698), yerno (sid_593)",1424,69.8
S1ce,23,1.13%,14,1.11%,"Avisar (sid_413), Importante (sid_215), Jaguar (sid_467), La tierra (sid_432), Ojete (sid_321), Sin avisarme (sid_468), avisar (sid_1523), descuento (sid_623), forty (sid_126), fruit (sid_156), ready (sid_60), refrigerador (sid_462), unidad_1 (sid_811), unidad_2 (sid_812)",1447,70.93
S1d8,21,1.03%,15,1.18%,"F (sid_495), Febrero (sid_2006), Feliz (sid_285), Feliz (sid_312), Fiesta (sid_191), Suficiente (suficiente) (sid_442), cold (sid_162), dirt (sid_93), febrero (sid_639), feliz (felicidad) (sid_1397), feliz (sid_228), frío (sid_1396), poder ((can, be able to)) (sid_1418), taza (sid_1987), trabajar ((work)) (sid_1395)",1468,71.96
S11e,20,0.98%,18,1.42%,"13 (sid_567), 13 (sid_825), 18 (sid_685), 28 (veintiocho) (sid_617), 8 (sid_526), 8 (sid_558), Conejo (sid_2076), Conejo (sid_2085), Gallo (sid_1929), Mofar (sid_283), NO (sid_203), Ocho (sid_269), Ocho (sid_726), VENADO (sid_450), destruirse ((to be destroyed)) (sid_1540), eight (sid_91), eighteen (sid_149), thirteen (sid_77)",1488,72.94
S1ea,20,0.98%,18,1.42%,"Escritura de los signos LSM (sid_539), Escritura de señas (sid_666), LLAVE (sid_2019), Novia (sid_417), Online (sid_1010), TIZAYUCA (sid_1965), amistad (sid_1381), amistad2 (sid_655), escritura de señas LSM (sid_548), identidad (sid_626), jale la palanca (sid_845), llave (sid_1981), meaning (sid_130), novio1 (sid_657), novio2 (sid_658), significa (sid_809), tie (sid_101), xilofono (sid_1990)",1508,73.92
S19c,19,0.93%,15,1.18%,"Avión (sid_1892), Campeche (sid_730), ILOVEYOU (sid_1947), Julio (sid_1901), Julio (sid_1996), Online (sid_974), Online (sid_976), Online (sid_977), Online (sid_978), Online (sid_979), RELOJ (sid_2024), avión (sid_225), historia (sid_372), julio (sid_644), reloj (sid_1985)",1527,74.85
S144,19,0.93%,17,1.34%,"14 (sid_568), 14 (sid_826), 19 (sid_828), 24 (sid_694), 4 (sid_522), 4 (sid_554), CL CONMIGO 4-4 (sid_1920), Catorce (14) (sid_805), Cuatro (sid_274), Presuntuoso (sid_465), four (sid_108), fourteen (sid_95), fourth (sid_47), mamá (sid_176), nineteen (sid_69), números 1 al 10 (sid_1957), números 1 al 10 (sid_1958)",1546,75.78
S153,18,0.88%,15,1.18%,"Color Anarajado (sid_2042), Gritar (sid_389), Naranja (sid_2056), Naranja (sid_2081), Online (sid_1636), Online (sid_1701), Online (sid_1709), Online (sid_1756), Online (sid_1757), Tapa Abrir (sid_662), YO-YO (sid_2022), anaranjado (naranjado, naranja, naranjas) (sid_584), apodo (sid_30), rascarse ((to scratch)) (sid_1543), sign (sid_76)",1564,76.67
S1fb,18,0.88%,16,1.26%,"Cada (sid_195), Online (sid_1231), Online (sid_1874), Online (sid_1889), PATRICIA (sid_2012), T (sid_509), TANIA (sid_2010), Tabasco 1 (sid_756), Tabasco 2 (sid_757), Tamaulipas (sid_758), Tania Durán Eufracio (sid_2009), Tlaxcala (sid_759), blue (sid_48), grandfather (sid_121), guanajuato (sid_1943), guanajuato (sid_1961)",1582,77.55
