Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S192,9,0.86%,9,1.39%,"chữ I (sid_14), dấu chữ ă (sid_36), dấu huyền (sid_31), dấu hỏi (sid_32), dấu ngã (sid_33), dấu nặng (sid_34), dấu sắc (sid_30), xấu (xấu xí) (sid_257), út (sid_302)",855,82.13
S17f,9,0.86%,9,1.39%,"bắt (sid_426), cho (bạn cho bạn ấy) (sid_449), cho (bạn cho tôi) (sid_450), cho (bạn ấy cho bạn) (sid_451), cho (bạn ấy cho tôi) (sid_452), cho (tôi cho bạn ấy) (sid_454), cho (tôi cho bạn) (sid_453), giả bộ (giả vờ) (sid_561), giả bộ (giả vờ) (sid_562)",864,83.0
S110,9,0.86%,6,0.93%,"dấu chữ â (sid_35), hư (hỏng) (sid_608), khó chịu (sid_277), màu (màu sắc) (sid_352), đi lại (sid_516), đi vắng (sid_517)",873,83.86
S15b,8,0.77%,4,0.62%,"chạy (tàu) (sid_440), chạy (tàu) (đã chỉnh sửa) (sid_445), thuyền (sid_219), để dành (sid_505)",881,84.63
S113,8,0.77%,8,1.24%,"chữ H (sid_13), hư (hỏng) (sid_608), hỏi (A hỏi B) (sid_603), hỏi (bạn hỏi tôi) (sid_604), hỏi (bạn ấy hỏi tôi) (sid_605), hỏi (bạn ấy hỏi tôi) (sid_606), hỏi (tôi hỏi bạn ấy) (sid_607), hợp (sid_618)",889,85.4
S118,8,0.77%,6,0.93%,"bắt (động vật) (sid_427), chú ý (sid_463), chạy (người) (sid_439), đá banh (đá bóng) (sid_485), đậu (chim) (sid_494), đậu (dơi) (sid_495)",897,86.17
S10c,7,0.67%,6,0.93%,"ghi nhớ (sid_559), điệu (sid_522), đến (sid_508), đền (sid_507), đổi tiền (sid_538), ở đây (đây, tại đây) (sid_129)",904,86.84
S181,7,0.67%,4,0.62%,"bảo vệ (sid_419), bắt buộc (sid_428), hôn tay (sid_616), âu yếm (sid_418)",911,87.51
S153,6,0.58%,5,0.77%,"giáo dục (sid_574), trưa (sid_100), tuổi (sid_123), tuổi (đã chỉnh sửa) (sid_388), uống (sid_118)",917,88.09
S1e4,6,0.58%,5,0.77%,"buồn ngủ (sid_435), chụp hình (chụp ảnh) (sid_465), lịch sử (sid_242), trắng (bạch) (sid_214), tuần (sid_341)",923,88.66
S152,6,0.58%,4,0.62%,"báo (sid_421), vui (sid_79), vỗ tay (hoan hô) (sid_80), đội (sid_541)",929,89.24
S182,6,0.58%,5,0.77%,"A cho B (sid_448), giao (nhiệm vụ) (sid_571), thấp (lùn) (sid_249), tự giới thiệu (đã chỉnh sửa) (sid_399), ảnh hưởng (sid_400)",935,89.82
S19c,5,0.48%,4,0.62%,"cất cánh (sid_438), hạ cánh (đáp cánh) (sid_590), máy bay (sid_234), rồng (long) (sid_210)",940,90.3
S107,5,0.48%,4,0.62%,"chữ đ (sid_10), giám đốc (sid_203), đăng ký (đăng kí) (sid_491), địa điểm (sid_240)",945,90.78
S16c,5,0.48%,3,0.46%,"que (sid_57), que (đã chỉnh sửa) (thanh (đã chỉnh sửa)) (sid_378), số mười (sid_51)",950,91.26
S16e,4,0.38%,1,0.15%,đổi mới (sid_536),954,91.64
S1d0,4,0.38%,4,0.62%,"hy vọng (hi vọng) (sid_625), sao thế (sao vậy) (sid_280), toa lét (nhà vệ sinh, nhà xí) (sid_117), đeo (vòng tay) (sid_502)",958,92.03
S11a,4,0.38%,3,0.46%,"chữ R (sid_24), nai (sid_217), đi về (sid_518)",962,92.41
S151,4,0.38%,3,0.46%,"nấu ăn (nấu) (sid_198), nấu ăn (đã chỉnh sửa) (sid_374), trực thăng (sid_236)",966,92.8
S1de,4,0.38%,4,0.62%,"Sài Gòn (Saigon) (sid_231), chữ G (sid_12), giám đốc (sid_203), xanh lá (xanh lá cây) (sid_216)",970,93.18
S101,4,0.38%,3,0.46%,"chữ D (sid_9), dư (sid_476), dặn dò (sid_472)",974,93.56
S1f1,4,0.38%,4,0.62%,"cháu (sid_336), kết hôn (cưới) (sid_308), đổi tiền (sid_537), đổi tiền (sid_538)",978,93.95
S1f6,3,0.29%,2,0.31%,"ai (sid_63), đâu (sid_64)",981,94.24
S1e6,3,0.29%,3,0.46%,"Sài Gòn (Saigon) (sid_231), chữ S (sid_25), kỹ sư (sid_170)",984,94.52
S180,3,0.29%,3,0.46%,"gánh (nghĩa bóng) (sid_554), gọi (A gọi B) (sid_588), ăn cá (sid_402)",987,94.81
S1e5,3,0.29%,2,0.31%,"chụp hình (chụp ảnh) (sid_465), lo lắng (sid_273)",990,95.1
S14f,3,0.29%,3,0.46%,"buồn ngủ (sid_435), quốc tế (sid_205), đun (sid_544)",993,95.39
S171,3,0.29%,2,0.31%,"gian lận (sid_570), hợp tác (sid_619)",996,95.68
S1d4,3,0.29%,3,0.46%,"gái (con gái, nữ) (sid_290), vợ (sid_291), vợ (đã chỉnh sửa) (sid_364)",999,95.97
S1eb,3,0.29%,3,0.46%,"ghi (sid_558), gạch bỏ (sid_551), gạch dưới (sid_552)",1002,96.25
S179,2,0.19%,1,0.15%,đoàn kết (sid_524),1004,96.45
