Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S1b0,4,0.27%,4,0.48%,"seven (7) (sid_735), seven pounds (£ 7.00) (sid_813), seventeen (17) (sid_788), seventy (70) (sid_774)",1399,95.76
S110,3,0.21%,3,0.36%,"Oral (sid_587), bus (sid_151), tram (sid_139)",1402,95.96
S119,3,0.21%,2,0.24%,"Countries (Norway) (sid_218), dog (sid_613)",1405,96.17
S18b,3,0.21%,2,0.24%,"Counties (Wales) (sid_270), Wales (sid_71)",1408,96.37
S177,3,0.21%,3,0.36%,"P (sid_701), P (sid_702), scratching elbow (sid_194)",1411,96.58
S147,3,0.21%,2,0.24%,"Saw wood (Bread, cut bread) (sid_572), hello (hi, Theme: greetings and introductions) (sid_259)",1414,96.78
S1ee,2,0.14%,1,0.12%,"Open eyes (wake up, Be aware) (sid_508)",1416,96.92
S151,2,0.14%,1,0.12%,numbers question (How many?) (sid_332),1418,97.06
S18a,2,0.14%,2,0.24%,"U (sid_711), U (sid_712)",1420,97.19
S187,2,0.14%,1,0.12%,Wales (sid_71),1422,97.33
S12b,2,0.14%,2,0.24%,"no (sid_124), twelve (12) (sid_792)",1424,97.47
S18d,2,0.14%,1,0.12%,McDonalds (sid_566),1426,97.6
S1d1,2,0.14%,2,0.24%,"Wife (sid_607), marriage (marry, wed) (sid_644)",1428,97.74
S1c0,2,0.14%,1,0.12%,crown (crowned) (sid_581),1430,97.88
S171,2,0.14%,1,0.12%,camel (theme:ANIMAL) (sid_202),1432,98.02
S132,2,0.14%,1,0.12%,"Animals (Hare, Pets, Rabbit) (sid_330)",1434,98.15
S146,2,0.14%,1,0.12%,"all eyes on me (Look at me, looking at me.) (sid_505)",1436,98.29
S158,2,0.14%,2,0.24%,"Family (Relative, Aunty) (sid_333), Family: Uncle (Relative) (sid_334)",1438,98.43
S157,2,0.14%,1,0.12%,Eyes wide in amazement (sid_509),1440,98.56
