Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S1d2,2,0.49%,2,0.74%,"Enseñar (sid_155), f (sid_15)",363,89.63
S16c,2,0.49%,1,0.37%,CINDE (sid_59),365,90.12
S1ec,2,0.49%,2,0.74%,"70 (sid_237), LSM 1.00 (sid_118)",367,90.62
S17d,2,0.49%,2,0.74%,"Votar (sid_202), amigo (amiga) (sid_80)",369,91.11
S160,2,0.49%,2,0.74%,"abril (sid_86), abuela (sid_81)",371,91.6
S1d0,2,0.49%,2,0.74%,".. (sid_182), 50 (sid_235)",373,92.1
S19a,2,0.49%,2,0.74%,"Aeropuerto (sid_243), Azul (sid_253)",375,92.59
S1f7,2,0.49%,2,0.74%,"A (sid_4), Negro (sid_256)",377,93.09
S17e,2,0.49%,2,0.74%,".. (sid_197), Pera (sid_199)",379,93.58
S13d,2,0.49%,2,0.74%,".. (sid_189), adjustar (sid_198)",381,94.07
S1f4,2,0.49%,2,0.74%,".. (sid_186), jueves (sid_47)",383,94.57
S1d1,1,0.25%,1,0.37%,Olor (sid_196),384,94.81
S1d4,1,0.25%,1,0.37%,Niño (sid_168),385,95.06
S176,1,0.25%,1,0.37%,O (sid_10),386,95.31
S11a,1,0.25%,1,0.37%,RR (sid_132),387,95.56
S119,1,0.25%,1,0.37%,Pan (sid_194),388,95.8
S137,1,0.25%,1,0.37%,30 (sid_234),389,96.05
S138,1,0.25%,1,0.37%,12 (sid_42),390,96.3
S14a,1,0.25%,1,0.37%,LSM 2.00 (sid_120),391,96.54
S1d3,1,0.25%,1,0.37%,t (sid_16),392,96.79
S1a8,1,0.25%,1,0.37%,niña (sid_101),393,97.04
S140,1,0.25%,1,0.37%,k (sid_9),394,97.28
S154,1,0.25%,1,0.37%,manzana (sid_71),395,97.53
S18c,1,0.25%,1,0.37%,m (sid_14),396,97.78
S18a,1,0.25%,1,0.37%,gitano (sid_94),397,98.02
S136,1,0.25%,1,0.37%,80 (sid_238),398,98.27
S10c,1,0.25%,1,0.37%,.. (sid_177),399,98.52
S17f,1,0.25%,1,0.37%,.. (sid_184),400,98.77
S1f0,1,0.25%,1,0.37%,.. (sid_187),401,99.01
S12b,1,0.25%,1,0.37%,Diciembre (sid_273),402,99.26
S10d,1,0.25%,1,0.37%,D (sid_7),403,99.51
S1e1,1,0.25%,1,0.37%,abrigo (sid_85),404,99.75
S180,1,0.25%,1,0.37%,Votar (sid_202),405,100.0
