Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S1ea,31,1.47%,18,1.6%,"Straits Times (straits times) (sid_499), T (t) (sid_219), T-shirt (t shirt) (sid_60), TV (television) (sid_472), Taiwan (sid_1102), Tuesday (tuesday) (sid_150), banana (sid_1010), fix (sid_714), mark (sid_1044), play the xylophone (xylophone, glockenspiel, play the glockenspiel) (sid_823), roti prata (roti canai, prata) (sid_383), temple (sid_946), the (sid_890), together (sid_279), transport (sid_1087), truck (sid_45), try (sid_822), type (sid_947)",1645,77.78
S180,30,1.42%,18,1.6%,"after (sid_970), ahead (sid_478), animal (sid_301), at (sid_882), build (sid_715), center (centre) (sid_977), equal (sid_447), equality (sid_910), hankerchief (sid_76), have (has) (sid_291), hope (sid_827), how (how are you) (sid_254), know (sid_606), limit (sid_502), maximum (sid_501), possess (sid_811), promote (sid_964), thousand (sid_164)",1675,79.2
S1da,20,0.95%,14,1.25%,"F (f) (sid_205), February (february) (sid_138), Friday (friday) (sid_153), family (sid_23), fax (sid_570), fax (sid_571), finance (sid_1054), finish (sid_569), float (sid_721), free (sid_439), fresh (sid_429), future (sid_269), if (sid_601), life (sid_843)",1695,80.14
S187,18,0.85%,15,1.34%,"-ward (sid_872), ice (sid_602), onward (sid_871), six (6) (sid_188), sixth (sid_172), towards (sid_859), water (sid_98), we (sid_866), weather (sid_943), welcome (sid_82), wine (sid_1052), wood (sid_640), wood (sid_641), world (sid_274), world (sid_816)",1713,80.99
S166,17,0.8%,15,1.34%,"E (e) (sid_204), Europe (sid_921), Ministry of Education (MoE, MOE) (sid_802), email (e-mail, e mail) (sid_561), empty (sid_1129), empty (sid_557), empty (sid_558), empty (sid_559), enterprise (sid_362), evening (sid_564), for example (example) (sid_375), forever (sid_961), hundred (sid_163), leh (sid_398), zen (sid_443)",1730,81.8
S119,17,0.8%,15,1.34%,"-ness (sid_965), June (june) (sid_142), N (n) (sid_213), New Zealand (sid_1110), November (november) (sid_147), business (edited) (sid_963), happiness (sid_860), narrow (sid_621), nation (sid_917), nephew (sid_1097), niece (sid_1096), noble (sid_861), sofa (couch) (sid_464), us (sid_865), zen (sid_443)",1747,82.6
S101,15,0.71%,10,0.89%,"D (d) (sid_203), dark (sid_679), date (sid_622), date (sid_678), democracy (democratic) (sid_267), democratic (sid_903), dinner (sid_545), dust (sid_674), only (sid_370), today (sid_1083)",1762,83.31
S155,14,0.66%,7,0.62%,"ambition (sid_813), complain (sid_396), confidence (confident) (sid_366), dog (sid_329), dream (sid_718), get (sid_294), recall (sight, dream) (sid_693)",1776,83.97
S1bb,14,0.66%,9,0.8%,"Australia (sid_1111), choose (sid_535), choose (sid_538), eight (8) (sid_190), eighth (sid_175), hate (sid_723), light (sid_740), oil (sid_778), related (sid_298)",1790,84.63
S1c5,14,0.66%,10,0.89%,"delicious (sid_953), early (sid_424), empty (sid_556), excited (sid_7), feelings (feel) (sid_712), internet (Internet) (sid_820), internet (sid_597), sense (sid_706), shine (sparkle, glisten, glitter, glossy, glow) (sid_350), smart (sid_632)",1804,85.3
