HamNoSys,HamNoSys,HamNoSys,FSW_all,AmericanSL,AmericanSL,AmericanSL,ChineseSL,ChineseSL,ChineseSL,ChineseSL,Hong Kong SL,Hong Kong SL,Taiwan SL,Taiwan SL,Taiwan SL,Korean SL,Korean SL,German SL,German SL,Danish SL,Danish SL,Swedish  SL,Swedish  SL,Netherland SL,Netherland SL,British SL,British SL,Australian SL,Australian SL,Australian SL,New Zealand SL,New Zealand SL
Thumb Opposition,1fin_othersFist,(fingers rounded),S199,,,,S199,񃥱,,thin (line),,,S199,񃥱,少,,,,,,,,,,,,,,,,,
Thumb Opposition,1fin_othersFist,(fingers rounded),S1e5,,,,,,,,,,,,,S1e5,񅗱,,,,,S1e5,񅗱,,,,,,,,S1e5,񅗱
Thumb Opposition,1fin_othersFist,(fingers rounded),S1e7,,,,,,,,,,,,,,,,,,,,,,,,,S1e7,񅚱,write,,
Thumb Opposition,1fin_othersFist,(fingers rounded),S1eb,,,,S1eb,񅠱,,write,S1eb,񅠱,S1eb,񅠱,呂,,,,,S1eb,񅠱,S1eb,񅠱,S1eb,񅠱,S1eb,񅠱,,,,S1eb,񅠱
Thumb Opposition,1fin_othersFist,(fingers rounded),S1ed,,,,S1ed,񅣡,,sentence,S1ed,񅣡,S1ed,񅢑,句sentence,S1ed,񅢑,S1ed,񅣡,S1ed,񅣡,,,S1ed,񅣡,S1ed,񅣡,S1ed,񅣡,letter_c,,
Thumb Opposition,1fin_othersFist,FlattenedandInFistfingerUp,S19f,,,,,,,,,,,,,S19f,񃮱,,,,,,,,,,,,,,,
Thumb Opposition,1fin_othersFist,(fingers straight),S1e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1e4,񅖑
Thumb Opposition,1fin_othersFist,(fingers flattened),S1ee,,,,,,,,,,,,,,,,,,,,,S1ee,񅥑,,,,,,,
Thumb Opposition,1fin_othersFist,(fingers flattened),S1f0,S1f0,񅨑,g,S1f0,񅨁,,inch,S1f0,񅨑,S1f0,񅨁,像,S1f0,񅨁,S1f0,񅨑,S1f0,񅨑,S1f0,񅨑,S1f0,񅨑,S1f0,񅨑,S1f0,񅨑,small,S1f0,񅨑
Thumb Opposition,1fin_othersFist,(fingers flattened),S1f4,,,,S1f4,񅮁,,chicken,S1f4,񅮑,,,,S1f4,񅮑,S1f4,񅮑,S1f4,񅮑,,,S1f4,񅮑,S1f4,񅮑,S1f4,񅮑,11,S1f4,񅮑
Thumb Opposition,2finNonspread_othersFist,(fingers rounded),S129,,,,,,,,,,,,,S129,񀽱,,,S129,񀽱,S129,񀽱,S129,񀽱,S129,񀽱,,,,S129,񀽱
Thumb Opposition,2finNonspread_othersFist,(fingers flattened),S13d,,,,S13d,񁛡,,pinch,S13d,񁛱,,,,,,,,S13d,񁛱,,,S13d,񁛱,,,,,,S13d,񁛱
Thumb Opposition,2finNonspread_othersFist,(fingers flattened),S13f,,,,S13f,񁞱,,7,S13f,񁞱,S13f,񁞱,鸭,,,,,S13f,񁞱,S13f,񁞱,S13f,񁞱,S13f,񁞱,S13f,񁞱,12,S13f,񁞱
Thumb Opposition,2finNonspread_othersFist,(fingers straight),None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thumb Opposition,2finNonspread_othersFist,FlattenedandInFistfingerUp,S1a3,,,,S1a3,񃴱,,t,S1a3,񃴱,S1a3,񃴱,龙,,,,,,,,,,,S1a3,񃴱,,,,,
Thumb Opposition,2finNonspread_othersFist,FlattenedandInFistfingerUp,S1b2,,,,,,,,,,,,,S1b2,񄋑,,,,,,,,,,,,,,,
Thumb Opposition,2finNonspread_othersFist,FlattenedandInFistfingerUp,S1b3,,,,,,,,,,S1b3,񄌱,100,,,,,,,,,,,,,,,,,
Thumb Opposition,2finSpread_othersFist,(fingers rounded),S128,,,,S128,񀼑,,eagle claw,S128,񀼑,,,,,,,,,,,,S128,񀼑,S128,񀼑,,,,,
