canonical_gloss,synonyms,sid,FSW
adjetivo,adjetivos,581,M548x529S10e01504x479S10e09469x479S21600540x521S22a13461x504S22a05525x504S21600453x519S20e00493x471
agosto,,645,M545x540S2e100522x511S21512518x475S33010479x483S1f710525x493
Agosto,,1995,M535x569S2e100512x540S31400482x483S1f710515x522S33e10492x505
Agua,,279,M542x546S34400482x484S31a00482x482S10a10525x520S21600523x505S21600534x505
Agua,,310,M540x556S10010518x526S34400482x483S31a00482x483S21600520x516S21600532x516
Agua,,311,M542x548S34400482x483S10010519x518S21600523x504S21600534x504
Aguascalientes,,727,M539x581S34400482x447S10a10523x477S21800521x467S34400483x518S2e500491x554S16d10519x554
Alabanza,,464,M583x581S30a00482x483S30004482x483S14c00506x534S14c08533x503S17600524x483S17600549x465S21d00517x457S22b07542x438S2e230483x549S2e230564x498
alegre,alegría,1380,M541x577S15d01515x554S15d09459x553S2fc00493x551S2ad01511x524S2ad10477x526S2ad01528x524S2ad10458x527S34000482x483S31430489x495
alimento,"alimentos, comida, comer",583,M518x550S26a04486x519S34400482x483S17700489x535
Alumno,,266,M518x562S34400482x483S1f500493x519S2e500490x535
Amen,,469,M551x585S30000479x483S21600511x473S14c18528x452S36d00480x535S1f502492x557S14c09444x558S20700473x548
amistad,,1381,M571x534S33e00482x483S2460a532x510S1ea20507x498
amistad1,,656,M519x527S2034a483x512S20500486x494S16d52482x473S22a04506x474
amistad2,,655,M553x551S34000482x483S2990a515x513S1ea10530x530S20500517x504
amor 1,,653,M521x569S37600471x546S36d00479x522S1f501455x528S1f509489x529S20500478x532S33e00482x483
amor2,,654,M527x564S20301472x526S20309506x526S33e00481x483S20500495x528S37600487x541S36d00479x521
anaranjado,"naranjado, naranja, naranjas",584,M546x518S32b10482x483S20500520x496S15320531x487S21900530x479
anciana,,415,M556x551S30004520x481S20300531x521S30006444x484S20f00527x539S10020483x500S22a04456x526
angel,,1955,M549x531S36d00479x486S14c2f452x482S14c27523x482S22124464x471S22124512x470S23004519x513S23014458x513
Aniversario,,869,M532x520S13411494x492S26600516x487S20800489x481S13419468x492
apodo,,30,M528x532S15348472x507S15340513x470S20e00474x492S26602476x472S26616492x512S21600502x468S21600490x523
arbol,,249,M527x536S15a36500x524S37910509x489S14c00500x465S27202473x467
arbol,,1972,M539x609S31400482x483S33e10492x504S14c10514x504S2a540517x549S37800522x542S37800528x542S15d3a512x590S20500522x578
Arbol,,446,M525x542S14c10483x459S37900495x490S16046476x521S20800503x523S2e238506x484
Armando Cruz,,550,M548x559S30005482x447S30005483x519S20500512x477S20500514x548S14c20525x525S1f520522x467
arreglar,,1522,M537x533S11a03479x494S36d00479x524S20300521x518S26606507x497S26606507x482S26606507x467S20e00464x514
Arroz,,667,M530x527S14c3a488x503S1fa4e495x478S20e00518x493S26a02470x473
Arte,,297,M549x540S1f74a451x487S1f751476x460S20500463x476S2d006487x521S1f742496x491S1f751527x495
Arte,,317,M543x527S1f74a458x507S1f751489x473S20500476x494S2d006514x496
ARTESANO,,955,M575x595S33e00482x483S21900493x493S1f757524x545S1f75f457x548S29904510x562S2990c479x563S22504563x562
ARTESANO,,956,M558x610S33e00482x483S21900493x492S22504546x554S1f757520x522S29904508x548S1f75f455x525S1f75f461x588S1f75f460x530S2990c480x547S1f757519x588
asco,,1383,M518x560S35000482x483S30c30489x489S14c01455x533S24004481x522S37c06493x543
Asl,,677,M528x530S14c39472x471S20355487x509S18751504x489S21100483x495
persona sordo,"auditivo, auditiva, persona sorda",563,M536x555S33010479x483S20500522x495S33e10490x506S20500505x516S10010521x503S2880d513x535
Auto Abrir,,663,M598x530S2035e443x508S20358518x475S20358557x475S37900524x489S37900563x490S37906403x515S20f00432x492S1fa40439x471S22a02419x475S2c705577x477S2c714492x481
Avisar,,413,M529x548S34b00482x483S1ce02476x526S26504515x527
avisar,,1523,M518x560S1ce12487x521S33b00482x483S26500495x545
Avión,,1892,M538x515S19c21508x486S28b02463x495
avión,,225,M521x518S2ff00482x483S19c5a451x460S28a0a485x458
ayer,,587,M553x518S32b10482x483S20500518x504S20500519x485S26500537x485S1f520529x502
Azul,,2036,M530x573S15d39480x550S21100503x557S1f741509x528S21400497x543S31400482x483S34d10497x504
azul,cian,585,M525x523S15d39475x500S21100498x507S1f731504x478S21400492x493
Año,,384,M520x540S20300481x525S20300481x495S20500484x513S21402480x461S21406491x462S2e700505x506
año2,,632,M520x528S20336481x513S2e700505x494S20500484x501S1f532483x473
año3,,637,M520x523S20336481x508S2e700505x489S20500484x496S20332481x478
B,,491,M507x511S14720493x489
B,,1097,M521x524S20357480x490S14720507x476S21400483x482S26a01499x503
Baja California,,728,M524x566S34000482x483S14720484x526S16d10507x527S22a06497x553
Baja California Sur,,729,M551x582S34000482x483S14720484x526S16d10507x527S22a06497x553S20320535x531S22b04535x552
ball,,80,M529x514S15049471x487S15041501x486
ball,,169,M536x513S15002505x487S15006464x488
Bandera,,806,M557x560S37609518x512S15a47527x494S30d00483x483S34010494x505S2e100534x526S15a06507x548S36d00479x522
basketball,,167,M512x577S14c50488x514S2b700487x464S14c20487x423S23004487x559
baño,,222,M521x529S36d00479x472S14702485x481S22b04491x499
baño2,,631,M521x520S36d00479x480S14702486x506S23100479x488
bb,,459,M555x553S33b00483x453S2ff20476x512S10111530x465S1012f537x525S20500499x532
beber,tomar,613,M567x537S2c305540x513S16d10520x506S33b00482x483
Bendiga,,782,M577x531S30d00482x483S34010492x507S22510428x487S20500495x468S18510510x470S18518466x469S23a04531x489S23a1c446x489S22510555x488
besar,,227,M527x516S18510502x501S18518474x501S20600489x484
Biblia,,309,M563x537S2ff00482x483S14700527x503S2360e546x498
biblioteca,,463,M569x545S16040446x472S16048492x473S16018474x518S20800473x482S37d00511x529S37d00516x529S37d00532x529S37d00538x529S37d00559x529S37d00567x529S2a601514x458S2a610432x455
Bien,,290,M525x535S2ff00483x483S33e00482x483S26500511x520S14700494x513
Bienvenido,bienvenido,484,M532x590S30004482x483S26624492x556S15a01498x519S15a31509x553S15a37465x567S26500480x518
Bienvenido,bienvenido,486,M541x592S30004482x483S15a01495x519S26500478x518S10e01516x545S10e09462x561S2e820495x548S2fb04494x586
