canonical_gloss,synonyms,sid,FSW
ficar-se al llit,"acostarse, ajeure's (per dormir)",1599,M535x599S31600482x487S30711482x478S15a17511x506S20500521x490S15a1a490x552S11550500x569S20e00481x569S2c601516x552
actor,,60,M546x532S14c02504x477S14c06459x468S27100506x511S27114455x503S2fb04491x526
acudit,chiste,3420,M542x571S33e00482x483S17f42509x494S20500507x518S11e10488x541S26b00515x553
acumular/-se,acumular/se,1506,M527x545S15a12500x533S15a1a474x522S28800514x506S28800514x480S28818482x493S28818483x467S20500500x512S20500500x490S20500501x469S2fd00493x455
acusar,acusar,96,M567x554S10010526x477S10040526x524S30c00482x482S25604551x503S2f700554x537
ençà,acá (de un tiempo...),1820,M559x528S2ff20476x482S1f558515x459S1f550535x513S20500544x462S2b700537x480
adaptar,adaptar,1507,M523x538S15711494x474S15718477x484S2df06501x497S2df12478x514S22104500x462S22104476x471
pega,"pegamento, adhesiu",504,M534x544S28802512x500S15d38468x518S20b00497x511S22114467x470S1c120498x456S15d50475x515
escaure,"sentar bien, adir-se",3055,M558x574S2ff00482x482S15d00495x509S15d50539x547S2df08530x503S22a04545x526S20500515x511
endevinar,adivinar,2522,M518x533S1c120489x467S22104482x468S26604498x503
adéu,adiós,2919,M559x517S2ff00482x482S18000529x499S22114528x486
adjetivo,,1072,M521x530S36d00479x470S21100487x479S22b05489x506S15a1f469x486
admirar,"admirar, embadalir-se",132,M535x537S10010498x507S22a04522x522S21100521x504S35b04482x482
adular-1,"adular, afalagar",212,M519x537S10028480x481S15a20493x510S22b04503x481S21100486x463
adular-2,adular,213,M519x532S15d50487x468S22b04481x502S22b04503x502
adult,adulto,2917,M548x517S14b10523x477S2ff00482x482S26a00521x458
adulterar 1,adulterar,214,M543x642S17648442x523S1f522442x494S28903442x462S30006482x482S17717523x497S20600519x480S1f521487x556S1f529450x578S2e601495x589S2e619452x605S2fc04487x631
seriós,"serio, adust",1337,M535x520S2ff00482x483S14c00489x489S26500521x500S21600523x487
