canonical_gloss,synonyms,sid,FSW
นกจาบคาหัวเขียว,blue-tailed bee-eater,513,M550x664S2ff00482x416S1d410513x420S2ff00482x462S15a10512x470S20e00527x475S2d50f523x456S1f420479x528S26c08487x511S2f700513x508S2ff00482x550S10012504x566S20e00520x551S26506535x550S37606475x596S10012471x600S21100456x595S22a04456x612
บ,"บ.ใบไม้, Bo Baimai",105,M507x511S14720493x489
ท่าทาง,body posture,651,
เหยี่ยวแดง,Brahminy Kite,543,M543x605S32e00472x420S34d10487x444S10a20458x437S26900452x416S14c26512x498S14c2e437x498S37024468x483S26c04511x526S26c14443x526S2fb00482x501S30c30479x426S33b00472x546S10000476x573S20e00495x583S22104495x598
ขนมปัง,bread,316,M526x525S18041487x476S15d0a474x490S20e00507x496S22f04501x511
อกหัก,broken-hearted,539,M521x539S16c10493x473S16c18473x473S36d00479x462S16c10493x506S16c14473x518S2c310453x483
สีน้ำตาล,brown,688,M526x547S2ff00482x483S14720512x493S20e00513x518S22a04513x532
นกอีเสือสีน้ำตาล,Brown Shrike,564,M546x643S33b00482x383S1f420462x408S22104462x398S15d27519x435S15d2f458x435S22e04519x461S22e14464x461S22a06531x559S20e00517x560S2ff00482x486S11502499x496S21100515x515S22a06530x515S10002511x543S30b10482x534S30006482x583S14727512x602S20e00504x619S22a03493x629
บรูไน,Brunei,412,M527x534S3760b486x478S14719506x467S14711496x503S2e506474x511
รถไฟฟ้าบีทีเอส,"รถไฟลอยฟ้า, BTS Skytrain, skytrain",226,M534x518S37906467x511S15a1a507x506S17220467x483S22c06487x487
วัด,Buddhist temple,68,M543x582S2ff00482x449S15a11500x456S15a19477x456S22b05519x475S15a18488x555S15a10500x555S30104482x506S22b13457x475
ควาย,buffalo,353,M536x518S30a00482x483S19a21514x466S19a29464x466
นกปรอด (กลุ่ม),bulbuls,566,M542x687S33b00482x483S1f420462x508S22104462x498S15d27519x535S15d2f458x535S22e04519x561S22e14464x561S2d507500x590S21414507x626S14c02465x590S18538482x613S18520500x608S18538482x647S1f420499x653S20500494x659S26c08507x672
ตอแหล,"bullshit, mealy-mouthed",523,M547x518S2ff01482x483S34210490x505S33210495x492S1fb10523x499S1dc40523x444S26900523x478
พม่า,Burma,24,M563x517S30007482x482S1e111518x459S22a04528x500S2e801539x442
พม่า,"เมียนมาร์, Burma/Burmese, Myanmar",335,M536x540S2ff00482x483S1ed40509x521S22b04520x492S2c636510x476
รถโดยสารประจำทาง,"รถเมล์, bus",225,M550x518S20310530x483S2ff00482x483S22f04525x501
กะหล่ำปลี,cabbage,458,M530x529S15438470x498S21416522x509S15510504x503S2760e478x471S20500488x505S20500488x488S20500470x485
กาแฟอเมซอน,Cafe Amazon,469,M520x544S16d48485x450S1d412484x420S21400505x438S2ea02491x406S33b00482x483S10650470x497S23004471x526
ใจเย็น,"calm, cool-headed",158,M520x588S30b00482x483S15d02486x524S21100494x546S23404482x574S2f800482x562
กัมพูชา,Cambodia,407,M551x526S36d00479x474S1ea03506x487S2e801527x501
เขมร,Cambodian,27,M566x532S36d00479x528S36d00478x468S1e111532x501S28c0b542x484
ค่าย,"เต็นท์, camp, tent",51,AS1c411S1c419S20500S22b13S22b05M528x534S1c411501x467S1c419471x466S20500496x495S22b13475x510S22b05504x510
รถยนต์,car,224,M533x529S20301509x471S20309471x471S23607504x496S23625467x496S2fc04493x518
วัว,cattle,354,M540x518S30a00482x483S1ed10514x474S1ed18460x474
นกยางควาย,cattle egret,500,M546x601S33b00482x409S1f420462x434S22104462x424S15d27519x461S15d2f458x461S22e04519x487S22e14464x487S1f420506x518S26504521x536S2ff00483x557S17910524x568S22a04533x586
กะหล่ำดอก,cauliflower,461,M537x561S15438493x480S15450494x451S21400476x462S2e702512x458S22630483x439S1dc20484x525S23602464x522
เผด็จการ,"รวบอำนาจ, dictator, centralize",239,M533x528S15a1a500x516S37803503x491S37806468x521S2c605478x484S21b00475x473S2f900498x501S2030b489x477
จริง,"แน่, แท้, really, certainly",199,M530x559S10040515x511S30a00482x483S22a04516x544
ไก่,chicken,482,M518x524S33b00482x483S1f420462x509S22114453x499
ลูก,child (offspring),637,
จีน,China,28,M541x518S18217474x493S1fa19460x495S20500466x481S27100501x487
จ,"จ.จาน, Cho Chan, Jo Jan",87,M519x518S19220498x499S2a20c482x483
ช,"ช.ช้าง, Cho Chang",89,M515x536S16d10498x465S11502485x488S10020500x506
ฉ,"ฉ.ฉิ่ง, Cho Ching",88,M515x519S16d10498x481S11502485x504
ฌ,"ฌ.เฌอ, Cho Choe",91,M515x536S16d10498x464S11502485x487S10e20500x506
คริสต์มาส,Christmas,263,M543x552S15c13502x449S15c15478x449S28806507x469S2881e471x469S2880d512x482S28815468x481S28906511x502S2891e460x501S2890d516x517S28915457x517S2fc04492x541
วันคริสต์มาส,Christmas Day,264,
โบสถ์,"โบสถ์คริสต์, church",69,M553x548S15a19478x453S15a11501x453S22c13448x472S22c05520x473S1002a480x511S10020501x518
แมลงสาบ,cockroach,394,M546x518S2ff00482x483S10020504x461S10028481x462S2720c506x440S27218455x440S2fc00492x425
มะพร้าว,coconut,436,M521x528S17051495x481S17059479x489S20800496x472S23024489x510
กะทิ,coconut milk,459,M532x559S17051492x451S17059476x459S20800493x442S23024486x480S15c18490x550S15012478x515S21a38468x509S2df0f512x515
กาแฟ,coffee,470,M543x518S16d48485x451S1d412484x421S21400505x439S2ea02491x407S31a00482x483S1f410514x496S22100518x486
เหรียญ,coin,145,M543x557S1d510507x443S1d518473x443S23600503x478S23614458x478S2fb04493x499S15a31489x532S15a37490x532S22f14518x527S20b00524x544
